player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
崔晋铭,5,35,是,6-9,3-5,4-6,0,6,3,6,2,3,0,0,4,0/0,25,吉林,2018-12-21
琼斯,55,37,是,5-7,0-2,8-10,0,9,10,3,8,2,2,0,7,0/0,18,吉林,2018-12-21
张彪,14,26,是,6-9,0-0,3-3,1,0,1,2,0,2,0,0,2,0/0,15,吉林,2018-12-21
姜宇星,13,28,是,4-6,1-1,4-4,2,1,1,6,0,1,0,0,3,0/0,15,吉林,2018-12-21
李安,4,13,是,1-4,0-0,2-2,1,1,0,2,0,0,0,0,1,0/0,4,吉林,2018-12-21
马齐-兰佩,30,34,否,7-10,1-4,4-4,2,9,7,3,0,1,1,0,4,0/0,21,吉林,2018-12-21
姜伟泽,11,24,否,2-3,2-6,0-0,1,3,2,1,0,1,0,0,2,0/0,10,吉林,2018-12-21
代怀博,36,21,否,1-1,2-5,0-0,0,1,1,5,0,2,0,0,0,0/0,8,吉林,2018-12-21
柴长易,6,17,否,1-1,2-7,0-0,1,1,1,1,0,2,0,0,0,0/0,8,吉林,2018-12-21
耿铭旸,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-21
付博文,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-21
刘天意,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-21
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-21
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-21
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-21
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-21
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-21
张骋宇,6,43,是,5-12,4-9,2-3,3,3,5,0,2,4,1,0,1,0/0,24,青岛,2018-12-21
约翰逊,41,35,是,6-9,0-0,6-11,5,4,2,2,1,0,2,1,6,0/0,18,青岛,2018-12-21
翟逸,33,18,是,4-6,0-0,4-5,1,3,2,3,0,1,1,2,3,0/0,12,青岛,2018-12-21
王庆明,32,39,是,1-3,2-5,3-4,1,3,0,3,1,2,0,0,5,0/0,11,青岛,2018-12-21
杨金蒙,1,3,是,0-2,0-1,0-0,0,0,0,2,0,0,0,0,0,0/0,0,青岛,2018-12-21
吉布森,22,36,否,5-11,4-12,14-18,2,6,4,2,5,2,0,0,12,0/0,36,青岛,2018-12-21
高尚,0,30,否,1-3,1-3,4-4,2,2,0,4,0,1,0,0,2,0/0,9,青岛,2018-12-21
焦海龙,10,18,否,2-4,0-0,0-0,1,0,1,6,0,0,0,0,0,0/0,4,青岛,2018-12-21
许家晗,3,11,否,1-2,0-0,0-0,0,2,2,1,1,2,0,0,0,0/0,2,青岛,2018-12-21
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-12-21
周湛东,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-12-21
史文龙,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-12-21
杨凯,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-12-21
刘书楠,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-12-21
丁皓然,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-12-21
邵英伦,11,2,否,0-0,0-1,0-0,0,1,0,0,0,0,0,0,0,0/0,0,青岛,2018-12-21
刘传兴,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-12-21
寸守伟,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-12-21
宗赞,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-12-21
王思奇,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-12-21
