player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
唐正东,9,41:50,是,12-17,0-1,7-9,2,7,0,4,0,5,1,0,8,0/0,31,同曦,2016-11-16
范成林,35,41:13,是,5-7,2-4,4-4,1,2,2,1,0,2,0,0,4,0/0,20,同曦,2016-11-16
冯欣,66,44:24,是,2-2,1-5,6-6,0,5,2,4,2,3,0,0,7,0/0,13,同曦,2016-11-16
阿巴斯,15,25:12,是,3-6,0-2,0-1,0,7,3,1,0,5,0,0,1,1/1,6,同曦,2016-11-16
宋建骅,8,44:24,是,1-2,0-2,2-2,2,2,0,4,1,5,0,0,2,1/1,4,同曦,2016-11-16
布莱尔,45,22:47,否,6-13,0-0,1-4,6,7,1,3,2,2,0,0,2,1/1,13,同曦,2016-11-16
于长春,24,10:23,否,0-1,0-0,1-2,0,0,0,1,0,2,0,0,2,0/0,1,同曦,2016-11-16
买尔丹,33,06:09,否,0-0,0-0,0-0,1,0,0,0,0,0,0,0,1,0/0,0,同曦,2016-11-16
张财宝,22,03:36,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,1,0/0,0,同曦,2016-11-16
许钟豪,24,39:59,是,6-17,0-0,1-3,5,5,6,5,0,5,2,0,2,0/0,13,八一,2016-11-16
曹岩,8,37:19,是,4-6,1-2,1-3,6,0,3,2,1,2,0,0,3,2/3,12,八一,2016-11-16
张祖铭,20,18:07,是,2-2,1-6,1-2,0,0,2,1,0,0,2,0,2,1/1,8,八一,2016-11-16
韩硕,33,25:04,是,0-2,2-4,0-0,1,2,3,5,2,3,0,0,1,0/1,6,八一,2016-11-16
邹雨宸,10,21:40,是,1-4,0-0,1-4,1,6,1,4,3,1,1,0,3,0/0,3,八一,2016-11-16
付豪,1,17:05,否,6-8,0-0,2-2,2,2,0,1,1,1,0,0,2,2/3,14,八一,2016-11-16
雷蒙,11,31:36,否,1-4,3-6,2-2,0,0,3,4,1,1,0,0,2,0/0,13,八一,2016-11-16
阿尔斯兰,5,16:33,否,1-4,2-4,0-1,0,0,3,1,0,0,0,0,1,0/0,8,八一,2016-11-16
余晨,15,13:18,否,2-4,0-0,2-2,0,3,0,3,0,3,0,0,1,1/1,6,八一,2016-11-16
刘航初,9,08:59,否,0-2,0-0,0-0,0,2,0,2,1,0,0,0,1,0/0,0,八一,2016-11-16
李天戈,6,06:22,否,0-1,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,八一,2016-11-16
德勒黑,22,03:58,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2016-11-16
