player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
琼斯,55,35,是,4-10,2-7,5-5,0,4,9,3,1,6,0,0,6,0/0,19,同曦,2017-10-31
唐正东,9,18,是,3-3,0-0,0-2,4,3,1,1,1,2,0,0,2,0/0,6,同曦,2017-10-31
郭一飞,10,25,是,0-3,2-4,0-0,0,4,0,3,1,0,0,0,3,0/0,6,同曦,2017-10-31
巴赫拉米,14,41,是,1-4,1-2,0-0,4,5,3,4,2,3,0,0,3,0/0,5,同曦,2017-10-31
周仪翔,6,28,是,1-6,0-3,0-0,1,1,1,1,0,2,0,0,1,0/0,2,同曦,2017-10-31
J.J-希克森,44,36,否,17-26,0-0,0-2,5,10,3,1,0,2,2,1,3,0/0,34,同曦,2017-10-31
宋建骅,8,16,否,2-2,0-2,1-4,1,2,0,3,1,1,0,0,2,0/0,5,同曦,2017-10-31
于长春,16,18,否,0-0,0-2,4-4,1,1,0,1,0,1,0,0,2,0/0,4,同曦,2017-10-31
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-31
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-31
杨力,19,3,否,0-0,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,同曦,2017-10-31
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-31
冯欣,66,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-31
张财宝,22,12,否,0-1,0-2,0-0,1,2,0,0,0,0,0,0,1,0/0,0,同曦,2017-10-31
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-31
买尔丹,33,2,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-31
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-31
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-31
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-31
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-31
汉密尔顿,41,39,是,10-13,2-7,2-2,4,9,2,2,4,1,3,3,6,0/0,28,北京,2017-10-31
方硕,8,41,是,5-9,0-5,2-2,2,1,9,2,2,5,0,0,2,0/0,12,北京,2017-10-31
王骁辉,33,26,是,0-0,4-8,0-0,2,3,2,4,1,0,0,0,3,0/0,12,北京,2017-10-31
翟晓川,20,30,是,3-13,1-1,2-2,4,8,1,4,0,3,0,0,1,0/0,11,北京,2017-10-31
朱彦西,13,40,是,2-6,1-4,0-0,0,2,0,4,2,1,0,0,0,0/0,7,北京,2017-10-31
艾伦-杰克逊,7,28,否,4-7,0-3,3-5,0,3,6,2,2,2,0,0,5,0/0,11,北京,2017-10-31
张松涛,35,9,否,3-4,0-0,0-0,1,1,0,2,0,0,0,0,1,0/0,6,北京,2017-10-31
张才仁,16,11,否,1-1,0-0,0-0,1,1,0,2,0,0,0,0,0,0/0,2,北京,2017-10-31
段鸿瑞,29,1,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-10-31
刘晓宇,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-10-31
王旭,4,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-10-31
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-10-31
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-10-31
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-10-31
段江鹏,11,5,否,0-1,0-1,0-0,0,1,0,0,0,0,0,0,0,0/0,0,北京,2017-10-31
吉喆,51,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-10-31
丘天,19,3,否,0-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,北京,2017-10-31
