player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
琼斯,55,48,是,6-13,4-9,6-6,2,8,13,3,1,4,0,0,10,0/0,30,同曦,2017-10-28
巴赫拉米,14,41,是,7-10,3-8,0-2,5,8,5,3,2,4,0,0,3,0/0,23,同曦,2017-10-28
唐正东,9,23,是,4-8,0-0,2-3,1,4,0,6,0,0,2,0,2,0/0,10,同曦,2017-10-28
周仪翔,6,31,是,0-4,2-6,1-4,3,1,2,1,1,0,0,0,2,0/0,7,同曦,2017-10-28
郭一飞,10,23,是,0-2,2-2,0-0,1,2,1,3,1,1,0,0,2,0/0,6,同曦,2017-10-28
J.J-希克森,44,24,否,8-16,1-1,1-4,4,5,2,4,0,0,0,2,2,0/0,20,同曦,2017-10-28
宋建骅,8,19,否,1-2,3-6,2-2,0,1,0,3,0,1,0,0,1,0/0,13,同曦,2017-10-28
买尔丹,33,23,否,2-2,0-0,4-4,2,3,1,3,0,0,0,0,2,0/0,8,同曦,2017-10-28
杨力,19,3,否,1-1,0-1,0-0,1,0,0,0,0,1,0,0,1,0/0,2,同曦,2017-10-28
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-28
张财宝,22,1,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-28
于长春,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-28
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-28
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-28
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-28
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-28
冯欣,66,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-28
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-28
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-28
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-10-28
杨敬敏,6,43,是,4-8,6-9,0-0,1,5,4,2,2,2,0,0,1,0/0,26,北控,2017-10-28
马布里,3,40,是,8-12,1-5,3-4,1,6,3,4,1,1,0,0,2,0/0,22,北控,2017-10-28
王征,28,24,是,4-10,0-0,1-1,1,5,2,4,0,0,1,0,1,0/0,9,北控,2017-10-28
阿巴斯,15,42,是,2-6,0-1,4-7,2,6,6,2,3,1,2,0,4,0/0,8,北控,2017-10-28
滕贺麒,8,16,是,0-2,0-2,0-0,2,0,0,2,0,0,0,0,1,0/0,0,北控,2017-10-28
兰多夫,42,31,否,5-9,1-5,8-12,1,4,1,3,2,1,0,1,11,0/0,21,北控,2017-10-28
许梦君,9,8,否,1-1,2-3,1-1,1,0,2,1,0,1,0,0,1,0/0,9,北控,2017-10-28
于澍龙,5,12,否,3-5,0-0,1-2,0,1,2,3,1,0,0,0,2,0/0,7,北控,2017-10-28
杨庚霖,10,14,否,2-2,0-2,3-4,2,2,0,3,1,1,0,0,2,0/0,7,北控,2017-10-28
于梁,11,4,否,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,北控,2017-10-28
李雪松,7,1,否,0-0,0-0,2-2,0,0,0,1,0,0,0,0,1,0/0,2,北控,2017-10-28
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-10-28
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-10-28
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-10-28
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-10-28
贺希宁,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-10-28
宋康明,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-10-28
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-10-28
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-10-28
