player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
阿巴斯,15,48:00,是,9-16,3-11,16-19,4,15,4,2,1,6,2,2,12,2/2,43,同曦,2017-02-19
宋建骅,8,46:06,是,3-5,3-7,1-2,1,4,2,2,0,1,0,0,2,0/0,16,同曦,2017-02-19
唐正东,9,32:26,是,3-13,0-0,3-6,3,9,3,1,1,3,0,0,6,0/0,9,同曦,2017-02-19
马壮,5,25:36,是,0-0,2-6,1-2,0,2,3,6,2,0,0,0,2,0/0,7,同曦,2017-02-19
张财宝,22,31:22,是,0-2,0-1,1-2,0,5,0,6,0,0,0,0,2,0/0,1,同曦,2017-02-19
郭一飞,10,22:56,否,0-1,2-3,0-0,0,3,0,3,0,1,1,0,0,0/0,6,同曦,2017-02-19
魏政贤,2,09:24,否,1-3,0-1,3-4,0,2,1,0,1,3,0,1,2,1/1,5,同曦,2017-02-19
于长春,24,08:47,否,1-1,0-2,0-0,1,0,0,2,0,0,0,0,0,0/0,2,同曦,2017-02-19
买尔丹,33,06:10,否,0-2,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,同曦,2017-02-19
范成林,35,09:13,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-02-19
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,2,0,0,0,0/0,0,同曦,2017-02-19
张彪,14,41:35,是,8-16,0-0,4-4,3,4,4,4,1,2,0,0,2,0/0,20,吉林,2017-02-19
柴长易,6,30:21,是,0-2,4-10,0-0,1,0,2,1,1,0,0,0,2,0/0,12,吉林,2017-02-19
蔡李龙,20,39:59,是,0-1,3-10,2-2,0,11,2,4,1,1,1,0,1,0/0,11,吉林,2017-02-19
M.I.托马斯,9,31:55,是,3-5,0-3,0-0,3,11,4,2,0,2,3,1,1,0/0,6,吉林,2017-02-19
刘天意,1,10:59,是,1-1,0-1,0-0,0,2,0,0,0,0,0,0,0,0/0,2,吉林,2017-02-19
J.A.布朗,55,36:44,否,12-23,3-7,17-21,2,5,5,6,4,2,0,1,17,2/2,50,吉林,2017-02-19
钟诚,12,18:24,否,0-0,1-3,0-0,1,4,1,6,0,0,1,0,0,0/0,3,吉林,2017-02-19
郭金林,21,23:24,否,1-3,0-1,0-0,0,2,2,2,1,0,0,0,0,1/1,2,吉林,2017-02-19
梁程,10,02:33,否,0-1,0-1,0-0,0,0,0,0,0,1,0,0,0,0/0,0,吉林,2017-02-19
肖剑,11,04:06,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,吉林,2017-02-19
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,0,0,0,0,0/0,0,吉林,2017-02-19
