player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
J.J-希克森,44,34,是,12-19,1-1,4-7,4,15,1,2,1,2,3,2,6,0/0,31,同曦,2017-12-15
巴赫拉米,14,35,是,4-7,1-3,1-2,1,3,3,6,2,3,0,0,3,0/0,12,同曦,2017-12-15
杨力,19,37,是,1-2,3-6,0-0,1,2,3,3,0,0,1,0,1,0/0,11,同曦,2017-12-15
郭一飞,10,36,是,2-3,0-3,2-2,2,3,1,3,1,3,0,0,3,0/0,6,同曦,2017-12-15
冯欣,66,21,是,0-1,1-3,2-2,0,0,3,1,1,1,0,0,1,0/0,5,同曦,2017-12-15
杰里米-帕戈,11,33,否,7-12,1-6,5-6,0,2,11,5,1,3,0,0,3,0/0,22,同曦,2017-12-15
于长春,16,8,否,0-0,2-3,0-0,0,1,0,0,0,0,0,0,0,0/0,6,同曦,2017-12-15
周仪翔,6,12,否,2-2,0-0,0-0,0,0,0,2,1,0,0,0,1,0/0,4,同曦,2017-12-15
宋建骅,8,14,否,1-1,0-4,1-2,0,0,1,6,0,1,0,0,1,0/0,3,同曦,2017-12-15
唐正东,9,5,否,0-3,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
买尔丹,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-15
莫泰尤纳斯,12,32,是,9-14,3-4,3-6,2,6,2,2,1,4,0,0,4,0/0,30,山东,2017-12-15
丁彦雨航,8,46,是,7-13,0-6,3-6,1,11,4,1,2,3,0,0,7,0/0,17,山东,2017-12-15
贾诚,32,27,是,4-4,0-1,2-3,1,3,0,5,1,2,0,0,4,0/0,10,山东,2017-12-15
张辉,4,26,是,0-1,1-2,0-0,0,1,3,2,1,0,0,0,0,0/0,3,山东,2017-12-15
张庆鹏,9,13,是,0-0,0-3,2-2,0,3,2,0,0,0,0,0,1,0/0,2,山东,2017-12-15
泰-劳森,3,39,否,8-15,4-4,7-8,3,2,10,2,2,0,1,0,7,0/0,35,山东,2017-12-15
陶汉林,20,25,否,3-5,0-0,3-4,2,3,1,4,1,2,0,1,3,0/0,9,山东,2017-12-15
张春军,27,22,否,1-1,0-1,3-3,0,0,3,3,0,0,0,0,2,0/0,5,山东,2017-12-15
吴轲,15,6,否,0-0,0-0,0-0,0,2,1,0,0,2,0,0,0,0/0,0,山东,2017-12-15
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-15
睢冉,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-15
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-15
王汝恒,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-15
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-15
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-15
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-15
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-15
