player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
康宁汉姆,6,37:39,是,6-14,3-10,10-14,1,4,4,2,3,1,0,2,8,0/0,31,同曦,2016-12-14
唐正东,9,24:28,是,7-16,0-0,0-0,2,2,2,2,0,1,0,0,0,0/0,14,同曦,2016-12-14
冯欣,66,26:14,是,0-0,1-2,0-0,0,2,5,4,1,3,0,0,0,0/0,3,同曦,2016-12-14
阿巴斯,15,03:30,是,1-2,0-1,0-0,1,0,0,0,0,0,0,1,0,0/0,2,同曦,2016-12-14
宋建骅,8,27:09,是,1-3,0-0,0-0,1,0,3,1,0,1,0,0,0,0/0,2,同曦,2016-12-14
迪奥古,50,34:21,否,6-11,4-5,1-3,3,14,1,0,0,1,3,3,7,0/0,25,同曦,2016-12-14
范成林,35,27:05,否,0-3,3-7,0-0,1,1,0,3,3,0,0,0,1,0/1,9,同曦,2016-12-14
买尔丹,33,19:06,否,2-3,0-0,3-4,1,3,1,3,1,2,0,0,2,0/0,7,同曦,2016-12-14
张财宝,22,21:46,否,2-3,0-2,0-0,0,2,2,5,2,2,0,0,2,0/0,4,同曦,2016-12-14
郭一飞,10,14:33,否,0-0,0-1,0-0,0,0,1,0,0,1,0,0,1,0/0,0,同曦,2016-12-14
马壮,5,04:07,否,0-0,0-1,0-0,0,0,0,0,0,1,0,0,0,0/0,0,同曦,2016-12-14
唐纳德-斯隆,23,32:40,是,7-10,4-5,4-7,0,3,3,1,1,4,0,0,6,0/0,30,广东,2016-12-14
易建联,9,27:31,是,8-13,0-3,5-9,2,9,2,2,0,1,1,2,7,0/0,21,广东,2016-12-14
赵睿,0,30:00,是,4-6,2-4,1-1,1,5,6,2,0,3,0,0,1,0/1,15,广东,2016-12-14
高尚,3,35:02,是,2-4,1-3,0-0,3,2,2,2,4,2,1,0,2,0/1,7,广东,2016-12-14
任骏飞,20,27:40,是,2-3,0-1,0-0,0,3,0,0,1,1,1,0,0,0/0,4,广东,2016-12-14
布泽尔,5,32:34,否,12-17,0-0,0-0,2,14,2,4,2,3,0,1,1,0/0,24,广东,2016-12-14
周湛东,13,19:24,否,1-3,2-5,0-0,0,0,0,2,1,1,0,0,2,0/0,8,广东,2016-12-14
杨金蒙,17,14:05,否,0-0,1-2,0-0,1,0,0,3,1,2,0,0,1,0/0,3,广东,2016-12-14
董瀚麟,16,11:26,否,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,广东,2016-12-14
曾繁日,34,04:05,否,1-1,0-1,0-0,1,1,0,1,0,0,0,0,0,0/0,2,广东,2016-12-14
邵英伦,12,05:33,否,0-1,0-0,0-0,0,0,0,4,0,1,0,0,0,0/0,0,广东,2016-12-14
