player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
康宁汉姆,6,43:24,是,8-9,4-9,4-4,0,2,1,3,0,5,0,1,7,2/2,32,同曦,2016-12-11
阿巴斯,15,46:03,是,7-10,3-4,4-5,1,8,6,4,1,3,0,1,6,1/1,27,同曦,2016-12-11
唐正东,9,40:25,是,11-15,0-0,1-3,2,4,1,2,1,3,1,0,3,0/0,23,同曦,2016-12-11
宋建骅,8,28:54,是,3-4,0-1,0-0,0,2,1,5,4,1,0,0,2,1/1,6,同曦,2016-12-11
冯欣,66,48:00,是,2-4,0-1,0-0,1,0,8,3,0,2,0,0,2,0/0,4,同曦,2016-12-11
迪奥古,50,28:36,否,3-7,2-4,3-4,1,7,2,2,1,2,1,0,3,0/0,15,同曦,2016-12-11
马壮,5,03:11,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2016-12-11
范成林,35,01:25,否,0-1,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,同曦,2016-12-11
大卫-肯尼迪,17,41:04,是,12-17,0-2,3-3,6,1,4,3,3,1,0,1,6,4/5,27,广州,2016-12-11
郑准,50,31:57,是,4-4,2-5,1-2,0,1,0,2,0,0,0,0,1,0/0,15,广州,2016-12-11
巴赫拉米,14,39:09,是,4-9,1-9,4-4,2,3,7,3,1,2,0,0,6,0/0,15,广州,2016-12-11
范子铭,13,15:07,是,3-6,0-0,0-2,2,1,0,3,0,2,0,0,1,0/0,6,广州,2016-12-11
李学林,9,19:31,是,1-1,0-2,0-0,0,0,0,0,1,2,0,0,0,0/0,2,广州,2016-12-11
亚历克斯-史蒂芬森,33,30:20,否,6-8,0-0,1-1,3,8,0,2,0,3,1,1,3,0/0,13,广州,2016-12-11
鞠明欣,8,20:34,否,5-9,0-1,1-1,2,1,1,2,3,2,0,0,3,2/2,11,广州,2016-12-11
史鸿飞,4,28:29,否,1-2,1-3,0-0,0,2,3,3,0,3,0,0,0,0/0,5,广州,2016-12-11
郭凯,11,13:49,否,2-3,0-0,0-0,0,2,2,5,0,0,0,0,0,1/1,4,广州,2016-12-11
