player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
冯欣,66,38,是,3-5,1-5,0-0,1,2,11,4,3,4,0,0,3,0/0,9,同曦,2017-12-03
宋建骅,8,29,是,1-1,1-5,2-2,1,4,1,0,1,2,1,0,1,0/0,7,同曦,2017-12-03
郭一飞,10,16,是,0-0,0-2,2-2,1,1,0,0,1,1,0,0,1,0/0,2,同曦,2017-12-03
周仪翔,6,6,是,0-2,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,同曦,2017-12-03
琼斯,55,36,否,11-17,5-11,12-12,2,4,1,2,1,1,1,0,9,0/0,49,同曦,2017-12-03
于长春,16,34,否,3-5,2-5,2-2,1,2,2,2,1,0,0,0,1,0/0,14,同曦,2017-12-03
买尔丹,33,36,否,2-3,0-0,0-0,3,8,1,4,2,1,0,0,1,0/0,4,同曦,2017-12-03
唐正东,9,5,否,1-2,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,同曦,2017-12-03
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
巴赫拉米,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
杨力,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-03
亚当斯,4,40,是,8-14,4-15,4-4,0,4,8,1,5,7,0,0,7,0/0,32,新疆,2017-12-03
俞长栋,27,38,是,1-4,3-5,0-0,1,3,2,3,0,0,0,0,0,0/0,11,新疆,2017-12-03
孙桐林,55,23,是,4-4,0-0,2-2,2,4,0,2,2,2,0,0,1,0/0,10,新疆,2017-12-03
阿不都沙拉木,23,24,是,3-7,0-1,1-1,2,2,0,3,1,0,0,0,2,0/0,7,新疆,2017-12-03
可兰白克,13,22,是,2-6,1-2,0-0,2,2,1,1,1,0,0,0,0,0/0,7,新疆,2017-12-03
李根,1,28,否,1-3,3-5,6-7,1,1,3,3,0,0,0,0,2,0/0,17,新疆,2017-12-03
西热力江,20,32,否,1-3,3-12,0-0,0,3,2,1,0,2,0,0,0,0/0,11,新疆,2017-12-03
孙鸣阳,21,19,否,2-6,0-0,0-0,1,4,0,3,1,2,0,0,0,0/0,4,新疆,2017-12-03
王子瑞,30,2,否,1-1,0-0,0-0,0,1,0,0,0,0,0,0,1,0/0,2,新疆,2017-12-03
布莱切,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-12-03
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-12-03
刘丰博,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-12-03
李学林,6,6,否,0-0,0-0,0-0,0,1,0,2,1,0,0,0,0,0/0,0,新疆,2017-12-03
唐才育,18,1,否,0-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,新疆,2017-12-03
