player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
康宁汉姆,6,41:09,是,9-13,3-9,14-19,1,3,0,4,2,5,0,3,12,3/3,41,同曦,2017-02-10
阿巴斯,15,47:36,是,2-5,2-5,9-11,3,6,3,6,2,4,1,0,10,0/0,19,同曦,2017-02-10
宋建骅,8,27:54,是,2-2,1-2,2-4,2,0,0,3,0,3,0,0,2,0/0,9,同曦,2017-02-10
冯欣,66,45:52,是,3-9,0-4,2-4,6,4,4,6,4,2,0,0,4,0/0,8,同曦,2017-02-10
买尔丹,33,16:27,是,1-1,0-0,0-0,0,0,0,3,0,0,0,0,0,0/0,2,同曦,2017-02-10
迪奥古,50,30:38,否,4-9,1-6,6-7,1,10,1,3,3,4,2,1,4,0/0,17,同曦,2017-02-10
唐正东,9,24:23,否,1-6,0-0,6-7,3,7,1,4,0,3,0,0,5,0/0,8,同曦,2017-02-10
于长春,24,02:34,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-02-10
郭一飞,10,01:06,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-02-10
马壮,5,00:43,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-02-10
张财宝,22,01:38,否,0-0,0-1,0-0,0,0,0,1,1,0,0,0,1,0/0,0,同曦,2017-02-10
未确认,--,--,--,0-0,0-0,0-0,2,2,0,0,0,0,0,0,0,0/0,0,同曦,2017-02-10
布鲁克斯,2,41:25,是,6-11,5-12,11-13,3,9,4,4,3,7,0,1,11,2/2,38,江苏,2017-02-10
易立,8,40:27,是,5-9,2-7,1-1,1,3,1,3,3,3,1,0,1,2/3,17,江苏,2017-02-10
李原宇,16,18:16,是,3-5,0-0,1-2,1,5,0,4,1,0,0,1,1,2/2,7,江苏,2017-02-10
常亚松,5,12:27,是,0-2,1-1,0-0,2,0,1,3,1,0,0,0,1,0/0,3,江苏,2017-02-10
柳伟,15,17:37,是,0-1,0-0,2-2,3,3,0,4,1,0,0,0,4,0/0,2,江苏,2017-02-10
麦克唐纳,26,30:05,否,11-23,0-0,0-2,5,4,1,5,0,4,1,0,3,0/0,22,江苏,2017-02-10
常林,45,27:51,否,3-4,0-5,3-3,1,3,3,6,1,1,0,0,3,0/0,9,江苏,2017-02-10
胡雪峰,55,13:53,否,0-0,1-4,4-4,2,2,2,0,2,0,0,0,4,0/0,7,江苏,2017-02-10
陈磊,22,12:22,否,0-0,1-3,0-0,0,0,0,2,1,1,0,0,0,0/0,3,江苏,2017-02-10
曹飞,23,19:02,否,1-2,0-0,0-0,0,0,0,5,0,0,0,0,1,0/0,2,江苏,2017-02-10
刘亚晖,9,02:11,否,0-0,0-0,1-2,0,1,0,1,0,0,0,0,1,0/0,1,江苏,2017-02-10
侯逸凡,31,04:24,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,江苏,2017-02-10
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,1,0,0,0,0/0,0,江苏,2017-02-10
