player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
佩恩,5,32,是,6-13,1-1,6-7,6,8,2,2,1,1,0,1,6,0/0,21,同曦,2018-11-06
冯欣,11,32,是,5-9,1-3,4-4,1,3,7,2,5,5,0,0,3,0/0,17,同曦,2018-11-06
买尔丹,33,18,是,1-2,0-0,1-2,1,2,1,5,0,1,0,0,1,0/0,3,同曦,2018-11-06
宋建骅,8,20,是,1-3,0-1,1-2,1,1,0,1,2,1,0,0,1,0/0,3,同曦,2018-11-06
冷振铎,12,2,是,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,同曦,2018-11-06
乔-杨,3,32,否,12-20,1-2,2-4,1,4,4,1,0,3,0,0,6,0/0,29,同曦,2018-11-06
于长春,6,27,否,2-5,3-8,4-4,1,1,1,0,0,3,0,0,3,0/0,17,同曦,2018-11-06
郭一飞,10,31,否,3-3,0-4,0-0,2,5,1,4,1,2,0,0,2,0/0,6,同曦,2018-11-06
何敬佳,20,23,否,2-4,0-2,0-2,1,1,0,2,0,2,0,0,2,0/0,4,同曦,2018-11-06
李柏润,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-06
乔文瀚,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-06
杨力,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-06
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-06
张财宝,22,3,否,0-0,0-0,0-0,0,1,2,0,0,0,0,0,0,0/0,0,同曦,2018-11-06
李泓澎,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-06
王睿,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-06
惠龙儿,18,13,否,0-1,0-0,0-0,1,0,0,3,0,0,1,0,0,0/0,0,同曦,2018-11-06
张韩,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-06
李佳益,39,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-06
萨林杰,92,36,是,4-9,5-6,3-3,2,9,5,3,1,1,1,0,5,0/0,26,深圳,2018-11-06
沈梓捷,11,30,是,6-10,0-0,4-4,3,9,3,1,3,3,1,4,6,0/0,16,深圳,2018-11-06
郭晓鹏,1,28,是,2-2,1-2,4-5,1,1,0,5,1,2,0,0,2,0/0,11,深圳,2018-11-06
顾全,12,15,是,1-6,1-2,1-2,0,0,1,2,0,0,0,0,1,0/0,6,深圳,2018-11-06
于德豪,19,27,是,2-3,0-3,2-2,3,0,7,5,4,3,0,0,1,0/0,6,深圳,2018-11-06
肯尼-伯顿,2,33,否,6-6,5-11,6-6,0,3,5,2,1,3,0,0,5,0/0,33,深圳,2018-11-06
卢艺文,55,24,否,3-4,2-4,0-0,2,1,4,2,1,2,1,0,0,0/0,12,深圳,2018-11-06
贺希宁,3,21,否,4-6,0-0,2-3,1,1,1,1,2,1,0,0,2,0/0,10,深圳,2018-11-06
杨林祎,6,9,否,1-2,1-2,0-0,0,0,0,2,0,0,0,0,0,0/0,5,深圳,2018-11-06
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-06
白昊天,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-06
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-06
张凯,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-06
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-06
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-06
李慕豪,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-06
邱彪,13,11,否,0-0,0-2,0-0,0,1,0,1,0,0,0,0,0,0/0,0,深圳,2018-11-06
何忠勉,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-06
