player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
乔-杨,3,38,是,10-19,1-8,0-0,0,5,5,1,3,1,0,2,0,0/0,23,同曦,2018-10-28
郭一飞,10,16,是,3-3,0-2,0-2,1,1,0,4,0,1,0,0,2,0/0,6,同曦,2018-10-28
何敬佳,20,19,是,1-3,1-1,1-2,5,1,3,1,1,2,0,0,3,0/0,6,同曦,2018-10-28
宋建骅,8,30,是,1-1,0-5,2-4,2,3,3,2,1,0,0,0,2,0/0,4,同曦,2018-10-28
惠龙儿,18,7,是,0-1,0-0,1-2,1,2,0,1,0,0,1,0,2,0/0,1,同曦,2018-10-28
奥斯汀,2,33,否,10-15,1-4,1-2,1,10,1,3,0,0,0,3,1,0/0,24,同曦,2018-10-28
冯欣,11,38,否,4-6,2-6,0-0,1,1,8,3,0,2,0,0,2,0/0,14,同曦,2018-10-28
张韩,29,26,否,6-7,0-3,0-1,0,1,0,2,0,0,1,1,1,0/0,12,同曦,2018-10-28
冷振铎,12,7,否,2-2,0-0,1-3,1,0,0,0,0,0,0,0,2,0/0,5,同曦,2018-10-28
买尔丹,33,11,否,1-2,0-0,0-0,0,2,1,3,0,1,0,0,0,0/0,2,同曦,2018-10-28
于长春,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-10-28
李佳益,39,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-10-28
李泓澎,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-10-28
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-10-28
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-10-28
杨力,19,9,否,0-0,0-1,0-0,0,0,1,1,1,1,0,0,1,0/0,0,同曦,2018-10-28
乔文瀚,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-10-28
李柏润,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-10-28
尼克尔森,44,44,是,17-25,1-2,2-3,2,16,3,3,2,0,0,0,4,0/0,39,福建,2018-10-28
赵泰隆,73,42,是,5-9,4-10,4-4,1,2,2,1,2,3,0,1,3,0/0,26,福建,2018-10-28
陈林坚,15,43,是,8-16,2-7,3-3,3,7,3,4,1,4,0,0,3,0/0,25,福建,2018-10-28
胡珑贸,10,34,是,4-6,0-0,5-5,1,8,1,4,0,2,0,0,7,0/0,13,福建,2018-10-28
谢亚财,19,25,是,1-1,0-0,1-1,0,2,7,1,0,0,0,0,2,0/0,3,福建,2018-10-28
刘洺宇,6,18,否,1-2,1-3,0-0,0,1,0,2,2,0,0,0,1,0/0,5,福建,2018-10-28
田桂森,0,9,否,1-2,0-0,0-0,1,1,1,1,0,1,0,0,0,0/0,2,福建,2018-10-28
卡米然斯地克江,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-10-28
史密斯,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-10-28
李江淮,5,4,否,0-1,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,福建,2018-10-28
范宇轩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-10-28
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-10-28
田嘉夫,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-10-28
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-10-28
孙喆,17,10,否,0-2,0-0,0-0,3,1,0,0,0,0,1,0,1,0/0,0,福建,2018-10-28
何重达,11,1,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,福建,2018-10-28
黄毅超,14,5,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-10-28
