player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
康宁汉姆,6,40:35,是,6-13,5-8,10-13,0,1,2,6,0,3,1,1,10,3/3,37,同曦,2016-11-13
阿巴斯,15,43:50,是,10-12,0-4,0-1,2,10,5,5,1,2,2,0,3,3/3,20,同曦,2016-11-13
唐正东,9,25:59,是,3-11,0-0,0-1,1,4,0,5,3,2,1,0,1,0/0,6,同曦,2016-11-13
宋建骅,8,40:36,是,1-5,0-5,0-0,8,7,4,5,1,2,1,0,1,0/0,2,同曦,2016-11-13
冯欣,66,05:43,是,0-1,0-0,0-0,0,1,0,0,0,1,0,0,0,0/0,0,同曦,2016-11-13
布莱尔,45,25:40,否,6-10,0-1,7-11,2,8,1,4,2,2,1,1,6,1/1,19,同曦,2016-11-13
张财宝,22,32:40,否,5-6,0-0,0-0,0,3,3,2,1,5,0,0,3,2/2,10,同曦,2016-11-13
范成林,35,11:17,否,0-0,0-0,2-2,0,0,0,0,0,0,0,0,1,0/0,2,同曦,2016-11-13
马壮,5,13:09,否,0-0,0-5,0-0,0,1,0,1,1,1,0,0,0,0/0,0,同曦,2016-11-13
毕鹏飞,23,00:29,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,同曦,2016-11-13
琼斯,55,39:55,是,14-23,5-10,7-9,3,0,2,5,2,4,0,1,9,2/2,50,青岛,2016-11-13
苏伟,9,38:48,是,3-7,0-0,2-3,1,3,0,4,1,4,3,0,4,0/0,8,青岛,2016-11-13
王庆明,32,15:55,是,2-4,0-0,0-0,0,2,0,1,1,2,0,0,0,0/0,4,青岛,2016-11-13
张涵钧,2,18:43,是,0-0,0-0,3-4,0,1,3,3,1,2,0,0,3,0/0,3,青岛,2016-11-13
孙鐿滔,8,09:19,是,1-1,0-1,0-0,0,0,1,1,0,0,0,0,0,1/1,2,青岛,2016-11-13
张骋宇,6,42:27,否,6-14,3-8,2-2,1,5,2,5,1,1,0,0,2,0/0,23,青岛,2016-11-13
贝尼蒙-卡尔顿,20,32:05,否,6-10,0-0,4-10,2,11,2,6,2,2,0,0,7,2/2,16,青岛,2016-11-13
丁皓然,35,05:43,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2016-11-13
宗赞,13,08:03,否,0-1,0-0,0-0,0,4,0,1,0,2,0,0,2,0/0,0,青岛,2016-11-13
孟令源,5,06:16,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,1,0/0,0,青岛,2016-11-13
孙杰,17,21:37,否,0-0,0-2,0-0,1,1,2,1,1,0,0,0,0,0/0,0,青岛,2016-11-13
田嘉夫,14,01:09,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2016-11-13
