player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈达迪,15,42:46,是,14-20,0-2,10-16,7,15,3,5,2,3,4,4,14,1/1,38,四川,2017-01-22
孟达,12,43:14,是,5-10,4-9,2-2,0,6,1,5,0,3,0,0,2,0/0,24,四川,2017-01-22
王汝恒,24,28:36,是,3-6,2-3,2-4,1,3,0,0,1,2,0,0,3,0/1,14,四川,2017-01-22
张春军,20,44:47,是,3-6,0-0,6-6,6,4,4,3,1,3,0,0,4,2/2,12,四川,2017-01-22
陈晓东,30,06:27,是,0-0,0-1,0-2,0,0,0,1,0,0,0,0,1,0/0,0,四川,2017-01-22
刘炜,8,27:33,否,2-6,2-3,2-2,1,2,3,4,0,5,0,0,1,1/2,12,四川,2017-01-22
蔡晨,7,17:00,否,4-8,1-2,0-0,2,3,0,4,0,0,1,0,0,0/0,11,四川,2017-01-22
约什-史密斯,5,28:27,否,4-8,0-3,3-5,0,6,1,0,1,1,3,1,3,0/1,11,四川,2017-01-22
陈辰,32,01:10,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,四川,2017-01-22
吴楠,10,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-01-22
刘晓宇,10,41:05,是,4-10,3-8,2-2,0,1,4,2,2,0,0,0,2,4/4,19,上海,2017-01-22
亚布塞莱,16,27:02,是,6-7,1-5,2-3,3,5,3,3,3,3,0,2,4,1/1,17,上海,2017-01-22
卢伟,12,34:44,是,1-2,4-6,0-0,1,3,1,3,0,0,0,0,1,0/0,14,上海,2017-01-22
张兆旭,23,36:40,是,2-6,0-2,2-2,0,2,0,6,0,2,2,1,4,1/1,6,上海,2017-01-22
翟逸,22,13:36,是,0-1,0-2,2-4,2,1,1,3,0,1,0,0,2,0/0,2,上海,2017-01-22
弗雷戴特,32,44:58,否,8-17,9-17,7-7,1,5,6,3,5,2,0,0,8,7/8,50,上海,2017-01-22
蔡亮,1,18:34,否,3-4,0-1,0-0,0,4,1,3,0,1,1,0,0,1/1,6,上海,2017-01-22
鞠鹏,9,12:38,否,1-1,0-1,0-0,0,2,0,3,0,1,0,0,1,0/0,2,上海,2017-01-22
曾文鼎,76,10:43,否,0-0,0-1,0-0,0,4,0,3,0,0,1,0,1,0/0,0,上海,2017-01-22
