player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈达迪,15,38:09,是,11-21,0-0,6-8,3,12,3,4,2,3,4,4,7,1/1,28,四川,2016-12-11
刘炜,8,44:31,是,7-10,0-1,4-4,1,3,4,4,1,4,0,0,6,0/0,18,四川,2016-12-11
孟达,12,40:26,是,3-6,0-5,3-4,0,1,1,1,0,0,0,0,1,1/1,9,四川,2016-12-11
张春军,20,37:06,是,1-1,1-4,2-2,2,5,0,5,0,2,0,0,3,1/1,7,四川,2016-12-11
陈晓东,30,12:22,是,1-3,0-0,3-4,0,2,0,0,1,0,1,0,2,0/0,5,四川,2016-12-11
吴楠,10,33:07,否,3-4,1-5,4-4,1,1,2,1,1,1,0,0,2,0/0,13,四川,2016-12-11
蔡晨,7,18:20,否,2-4,0-0,1-1,3,3,2,4,0,1,0,0,2,0/0,5,四川,2016-12-11
徐韬,9,06:28,否,0-0,0-0,2-2,0,2,0,0,0,0,0,0,1,0/0,2,四川,2016-12-11
约什-史密斯,5,11:32,否,1-4,0-4,0-2,2,5,0,1,0,3,5,0,2,0/0,2,四川,2016-12-11
杨越,6,04:05,否,0-0,0-0,2-2,0,0,0,1,0,1,1,0,1,0/0,2,四川,2016-12-11
王汝恒,24,07:01,否,0-0,0-1,0-2,0,0,1,0,0,0,0,0,1,0/0,0,四川,2016-12-11
韩硕,33,30:53,是,3-4,3-6,5-6,2,5,7,5,5,0,0,0,8,0/0,20,八一,2016-12-11
曹岩,8,44:24,是,3-7,4-11,0-0,1,0,0,4,0,2,0,0,1,1/1,18,八一,2016-12-11
许钟豪,24,34:28,是,5-13,0-1,1-2,2,7,3,6,1,3,1,3,4,2/2,11,八一,2016-12-11
雷蒙,11,35:20,是,4-9,0-8,2-3,2,4,3,4,0,1,0,0,3,0/0,10,八一,2016-12-11
付豪,1,13:26,是,3-6,0-0,0-0,1,2,0,0,1,0,0,0,1,0/0,6,八一,2016-12-11
宁鸿宇,16,16:22,否,3-4,0-0,0-0,2,1,0,3,0,0,0,0,0,0/0,6,八一,2016-12-11
德勒黑,22,19:05,否,1-2,1-4,0-0,0,2,1,0,1,1,0,0,0,0/0,5,八一,2016-12-11
余晨,15,17:19,否,2-7,0-0,0-0,0,6,2,3,1,1,0,0,2,0/0,4,八一,2016-12-11
阿尔斯兰,5,17:07,否,0-2,1-2,0-0,0,1,1,2,0,0,0,0,2,0/0,3,八一,2016-12-11
张祖铭,20,09:11,否,1-1,0-2,0-0,0,1,1,1,0,0,0,0,0,1/1,2,八一,2016-12-11
李天戈,6,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2016-12-11
