player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈达迪,15,37:17,是,14-20,0-2,7-11,4,8,2,4,0,2,1,6,9,1/1,35,四川,2016-12-18
孟达,12,38:39,是,3-8,2-7,0-0,3,2,1,3,1,2,0,0,2,1/1,12,四川,2016-12-18
张春军,20,35:30,是,4-6,1-2,1-3,6,3,1,5,2,0,0,0,3,0/0,12,四川,2016-12-18
刘炜,8,40:46,是,5-10,0-3,0-2,1,4,3,2,1,0,0,0,2,0/1,10,四川,2016-12-18
陈辰,32,15:58,是,1-2,2-3,0-0,0,2,0,3,0,1,1,0,0,0/0,8,四川,2016-12-18
王汝恒,24,23:04,否,4-5,1-2,1-2,0,4,2,2,1,2,0,0,2,1/1,12,四川,2016-12-18
约什-史密斯,5,34:37,否,4-9,1-9,1-4,1,9,7,2,2,5,1,1,4,0/0,12,四川,2016-12-18
徐韬,9,04:50,否,0-0,0-0,0-0,0,1,1,2,0,0,0,0,1,0/0,0,四川,2016-12-18
蔡晨,7,00:06,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2016-12-18
吴楠,10,09:13,否,0-0,0-1,0-0,0,0,0,2,0,1,0,0,0,0/0,0,四川,2016-12-18
马布里,3,38:41,是,9-19,0-1,8-10,1,2,10,0,0,0,0,0,4,3/3,26,北京,2016-12-18
孙悦,9,45:01,是,2-4,1-4,3-4,1,9,3,0,2,2,1,0,2,0/0,10,北京,2016-12-18
吉喆,51,17:34,是,1-4,1-4,2-2,3,1,0,3,1,0,1,0,2,0/0,7,北京,2016-12-18
张松涛,35,22:00,是,3-6,0-0,0-0,3,3,0,6,0,3,0,0,2,0/0,6,北京,2016-12-18
翟晓川,20,07:10,是,2-2,0-0,1-2,0,2,0,0,0,0,0,0,1,0/0,5,北京,2016-12-18
莫里斯,32,19:17,否,8-13,0-0,2-2,2,3,0,5,0,2,0,1,4,1/1,18,北京,2016-12-18
张庆鹏,18,26:48,否,2-5,2-4,6-7,1,5,2,0,4,2,0,0,4,0/1,16,北京,2016-12-18
朱彦西,13,29:23,否,2-2,2-2,0-0,0,3,2,6,0,0,0,0,1,2/2,10,北京,2016-12-18
方硕,8,23:54,否,2-8,1-5,0-0,2,3,0,2,0,1,0,0,4,2/3,7,北京,2016-12-18
段江鹏,11,10:03,否,0-2,0-0,0-0,1,1,0,1,1,1,0,0,1,0/1,0,北京,2016-12-18
王骁辉,33,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2016-12-18
