player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
富兰克林,11,48,是,5-8,3-7,9-12,3,13,8,0,3,3,2,0,15,0/0,28,四川,2018-12-16
贾森-汤普森,1,34,是,7-12,2-2,3-4,3,7,2,2,1,2,0,3,3,0/0,23,四川,2018-12-16
左朕年,13,42,是,5-10,2-7,2-2,2,2,1,3,0,0,0,0,1,0/0,18,四川,2018-12-16
陈辰,32,27,是,4-7,1-3,3-4,0,5,0,1,1,3,0,1,2,0/0,14,四川,2018-12-16
黄荣奇,7,17,是,0-0,1-2,0-0,1,2,1,3,0,3,0,0,1,0/0,3,四川,2018-12-16
李柯七,17,24,否,3-3,0-3,0-2,1,3,3,0,0,1,0,0,1,0/0,6,四川,2018-12-16
孟达,12,18,否,0-0,1-5,0-0,0,1,1,1,1,1,0,0,0,0/0,3,四川,2018-12-16
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-16
杨越,6,6,否,0-0,0-1,0-0,0,0,2,0,0,0,0,0,0,0/0,0,四川,2018-12-16
王政博,16,6,否,0-0,0-1,0-0,0,1,1,1,0,0,0,0,0,0/0,0,四川,2018-12-16
张海阔,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-16
景菡一,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-16
莫蒙尘,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-16
闵庆飞,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-16
陈晓东,30,0,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,四川,2018-12-16
袁振梁,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-16
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-16
曾文鼎,76,13,否,0-2,0-1,0-0,2,1,1,0,3,1,2,0,1,0/0,0,四川,2018-12-16
胡林森,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-16
皮埃尔-杰克逊,55,43,是,5-7,4-12,3-4,1,5,10,4,2,5,0,0,3,0/0,25,北控,2018-12-16
托马斯-罗宾逊,0,28,是,7-13,1-1,4-6,0,8,1,4,3,0,0,2,5,0/0,21,北控,2018-12-16
于梁,11,44,是,4-7,2-7,0-0,1,5,3,3,0,4,1,0,2,0/0,14,北控,2018-12-16
张帆,3,27,是,2-3,1-2,0-0,0,0,0,0,0,0,0,0,1,0/0,7,北控,2018-12-16
刘大鹏,20,21,是,0-2,0-2,0-0,0,0,1,6,2,0,0,0,0,0/0,0,北控,2018-12-16
孙贺男,31,33,否,2-3,3-8,0-0,3,2,1,1,1,1,0,0,0,0/0,13,北控,2018-12-16
王征,28,13,否,2-5,0-0,0-0,2,3,0,1,0,1,0,0,0,0/0,4,北控,2018-12-16
杨庚霖,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-16
于澍龙,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-16
常亚松,7,11,否,0-0,0-2,0-0,0,0,3,1,0,1,0,0,1,0/0,0,北控,2018-12-16
杨敬敏,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-16
许梦君,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-16
刘博,24,3,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,北控,2018-12-16
景浩扬,12,7,否,0-0,0-1,0-0,0,0,0,2,0,1,0,0,0,0/0,0,北控,2018-12-16
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-16
王振宇,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-16
张铭浩,30,5,否,0-1,0-0,0-0,0,1,0,2,1,0,0,0,0,0/0,0,北控,2018-12-16
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-16
