player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
刘炜,8,43:45,是,8-13,4-7,3-4,2,6,8,0,1,0,0,0,6,3/3,31,四川,2016-11-06
孟达,12,34:54,是,4-9,2-7,1-1,0,6,0,3,3,1,0,0,2,1/1,15,四川,2016-11-06
哈达迪,15,37:40,是,4-13,0-2,4-6,4,13,8,4,2,4,1,0,6,0/0,12,四川,2016-11-06
陈晓东,30,12:00,是,2-3,0-0,1-2,0,1,0,1,1,0,0,0,0,0/0,5,四川,2016-11-06
张春军,20,22:17,是,0-2,0-0,0-0,1,1,2,4,1,2,0,0,1,0/0,0,四川,2016-11-06
王汝恒,24,27:17,否,4-5,1-2,5-5,0,0,3,3,2,4,0,0,3,1/1,16,四川,2016-11-06
蔡晨,7,25:17,否,5-7,1-2,0-1,1,3,1,4,0,2,1,0,1,1/1,13,四川,2016-11-06
徐韬,9,20:02,否,2-5,0-0,4-4,2,6,1,6,0,3,1,0,2,0/0,8,四川,2016-11-06
吴楠,10,16:10,否,1-3,1-1,0-0,0,0,1,1,0,1,0,0,0,1/1,5,四川,2016-11-06
杨越,6,00:38,否,0-0,1-1,0-0,0,0,0,0,0,0,0,0,0,0/0,3,四川,2016-11-06
康宁汉姆,6,39:51,是,3-9,5-8,6-10,0,2,2,2,2,1,0,0,9,2/2,27,同曦,2016-11-06
阿巴斯,15,41:06,是,6-12,0-3,4-6,5,8,1,4,2,5,0,2,7,2/2,16,同曦,2016-11-06
冯欣,66,45:37,是,4-6,2-5,0-0,1,6,1,4,2,2,0,0,3,0/0,14,同曦,2016-11-06
唐正东,9,35:02,是,4-11,0-2,2-2,4,3,0,4,0,0,1,0,2,0/0,10,同曦,2016-11-06
宋建骅,8,17:08,是,0-1,0-0,0-0,0,1,2,2,0,0,0,0,0,0/0,0,同曦,2016-11-06
布莱尔,45,27:03,否,7-16,0-0,4-6,2,6,3,3,2,5,0,0,3,1/1,18,同曦,2016-11-06
范成林,35,15:44,否,2-4,0-1,0-0,2,0,0,0,0,0,0,0,0,0/0,4,同曦,2016-11-06
于长春,24,16:06,否,0-4,0-1,2-2,2,1,1,2,0,0,0,0,2,0/0,2,同曦,2016-11-06
马壮,5,02:23,否,0-1,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,同曦,2016-11-06
