player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈达迪,15,38,是,11-14,0-0,9-14,10,7,7,5,0,4,1,3,13,0/0,31,四川,2018-01-28
陈辰,32,41,是,5-7,3-5,5-8,3,2,2,2,0,2,1,0,5,0/0,24,四川,2018-01-28
刘炜,8,40,是,6-10,0-1,4-4,0,3,3,2,0,1,0,0,4,0/0,16,四川,2018-01-28
孟达,12,38,是,3-4,2-3,0-0,0,1,3,5,2,0,0,0,0,0/0,12,四川,2018-01-28
左朕年,13,7,是,0-1,0-0,0-0,0,2,0,1,0,2,0,0,1,0/0,0,四川,2018-01-28
迪奥古,50,33,否,7-14,1-8,6-8,2,10,3,2,0,4,0,0,4,0/0,23,四川,2018-01-28
陈晓东,11,16,否,2-4,0-1,0-0,1,2,1,3,0,0,0,0,0,0/0,4,四川,2018-01-28
黄荣奇,7,10,否,1-2,0-0,0-0,1,2,0,3,0,1,0,0,0,0/0,2,四川,2018-01-28
李柯七,17,11,否,1-1,0-0,0-0,1,2,1,6,2,0,0,0,2,0/0,2,四川,2018-01-28
张瀚月,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-28
杨越,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-28
王政博,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-28
徐煜峰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-28
吴楠,10,1,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-28
赵杭,26,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-28
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-28
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-28
德里克-威廉姆斯,24,33,是,6-11,3-4,4-4,1,5,2,5,1,4,0,3,4,0/0,25,天津,2018-01-28
张智涵,9,48,是,6-12,3-5,0-0,3,1,2,2,1,0,0,1,0,0/0,21,天津,2018-01-28
李荣培,7,46,是,5-8,1-5,4-7,5,2,3,3,3,1,0,0,7,0/0,17,天津,2018-01-28
徐磊,5,19,是,0-2,0-1,1-2,3,1,0,6,3,0,0,0,2,0/0,1,天津,2018-01-28
田野,17,9,是,0-1,0-1,0-0,0,0,1,0,1,0,0,0,0,0/0,0,天津,2018-01-28
普-杰特,3,38,否,5-15,4-13,14-15,2,2,8,1,1,0,0,0,12,0/0,36,天津,2018-01-28
于刚,77,24,否,3-6,0-0,3-4,4,4,2,5,0,1,1,0,2,0/0,9,天津,2018-01-28
韩博林,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-28
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-28
金鑫,10,1,否,0-1,0-0,0-0,0,0,0,0,1,0,0,0,1,0/0,0,天津,2018-01-28
高森堡,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-28
田垒,1,4,否,0-0,0-2,0-0,0,0,0,3,0,0,0,0,0,0/0,0,天津,2018-01-28
孟祥龙,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-28
刘伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-28
张骥,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-28
张晓阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-28
时德帅,23,14,否,0-0,0-0,0-0,1,2,1,4,0,0,0,0,1,0/0,0,天津,2018-01-28
史仪,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-28
