player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
迪奥古,50,43,是,14-24,2-8,6-8,2,12,4,1,1,3,1,1,6,0/0,40,四川,2018-01-30
刘炜,8,42,是,12-15,0-2,3-3,3,5,5,1,1,1,0,0,3,0/0,27,四川,2018-01-30
陈辰,32,39,是,4-5,2-7,3-4,1,3,3,5,1,3,1,0,2,0/0,17,四川,2018-01-30
黄荣奇,7,29,是,3-5,1-3,0-0,0,1,2,5,0,1,0,0,1,0/0,9,四川,2018-01-30
徐煜峰,9,8,是,2-2,0-0,1-1,1,0,0,1,1,0,0,1,1,0/0,5,四川,2018-01-30
哈达迪,15,28,否,6-9,0-1,7-8,5,8,6,3,0,3,2,2,9,0/0,19,四川,2018-01-30
杨越,6,15,否,3-4,0-1,2-2,0,0,0,2,0,0,0,0,1,0/0,8,四川,2018-01-30
陈晓东,11,12,否,2-3,0-0,0-0,2,2,0,3,1,0,0,0,1,0/0,4,四川,2018-01-30
左朕年,13,9,否,1-3,0-1,0-0,1,1,0,1,0,0,0,0,0,0/0,2,四川,2018-01-30
吴楠,10,3,否,0-0,0-0,1-2,0,2,0,1,0,1,0,0,1,0/0,1,四川,2018-01-30
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-30
孟达,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-30
王政博,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-30
赵杭,26,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-30
李柯七,17,8,否,0-0,0-1,0-0,0,1,0,2,0,0,0,0,0,0/0,0,四川,2018-01-30
张瀚月,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-30
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-30
路易斯-斯科拉,4,35,是,14-19,0-4,7-9,2,4,5,5,0,3,0,0,6,0/0,35,山西,2018-01-30
曾令旭,6,34,是,7-14,2-5,2-3,2,5,9,0,0,0,0,0,4,0/0,22,山西,2018-01-30
邢志强,12,27,是,3-3,1-5,0-0,0,4,0,5,2,0,0,0,1,0/0,9,山西,2018-01-30
任骏威,26,30,是,3-4,0-3,2-2,1,2,4,2,2,0,0,1,3,0/0,8,山西,2018-01-30
刘冠岑,17,9,是,0-1,0-1,0-0,1,1,0,1,0,0,0,0,0,0/0,0,山西,2018-01-30
威利-沃伦,32,35,否,10-14,1-5,12-15,2,1,4,5,1,3,1,1,10,0/0,35,山西,2018-01-30
闫鹏飞,9,28,否,5-8,0-0,0-0,2,9,0,5,1,0,0,1,1,0/0,10,山西,2018-01-30
原帅,7,20,否,0-0,1-2,0-0,1,1,1,1,0,0,0,0,0,0/0,3,山西,2018-01-30
王洪,13,11,否,1-1,0-1,0-0,0,1,1,0,1,0,0,0,0,0/0,2,山西,2018-01-30
侯兴宇,15,1,否,0-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山西,2018-01-30
班铎,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-01-30
王重阳,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-01-30
李旭,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-01-30
王磊,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-01-30
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-01-30
李敬宇,11,5,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-01-30
沙威剑,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-01-30
张学文,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-01-30
