player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈达迪,15,33:10,是,10-17,1-1,13-15,4,10,2,3,0,5,3,1,10,1/1,36,四川,2016-12-25
刘炜,8,34:31,是,7-11,1-3,2-3,1,5,4,5,0,3,0,0,3,0/0,19,四川,2016-12-25
孟达,12,38:26,是,3-7,3-5,2-2,0,0,4,4,0,1,0,0,4,0/0,17,四川,2016-12-25
张春军,20,37:08,是,1-4,0-1,2-2,5,7,1,4,2,2,0,0,5,0/0,4,四川,2016-12-25
陈晓东,30,07:06,是,0-1,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,四川,2016-12-25
蔡晨,7,16:54,否,2-5,3-3,3-3,2,2,0,3,1,1,1,0,3,0/0,16,四川,2016-12-25
约什-史密斯,5,36:31,否,3-8,2-7,3-4,4,9,6,2,4,2,2,1,2,0/0,15,四川,2016-12-25
吴楠,10,11:38,否,1-5,2-4,0-0,0,2,0,1,1,0,0,0,0,1/2,8,四川,2016-12-25
王汝恒,24,17:31,否,1-2,1-2,1-2,1,2,3,3,1,1,0,0,1,1/1,6,四川,2016-12-25
杨越,6,04:31,否,1-2,0-0,0-0,0,0,2,1,0,0,0,0,0,1/1,2,四川,2016-12-25
陈辰,32,02:34,否,0-0,0-1,0-0,0,1,0,0,0,0,0,0,0,0/0,0,四川,2016-12-25
福特森,4,43:29,是,9-23,2-14,6-8,2,6,5,3,1,3,0,0,10,0/0,30,广厦,2016-12-25
林志杰,27,42:23,是,2-5,4-9,2-4,1,5,2,4,1,2,0,0,5,1/1,18,广厦,2016-12-25
胡金秋,21,29:07,是,5-11,0-0,0-0,3,3,0,6,1,1,2,1,1,1/1,10,广厦,2016-12-25
王征,13,18:38,是,3-5,0-0,2-4,1,3,1,2,0,0,0,0,2,0/0,8,广厦,2016-12-25
李京龙,9,21:14,是,0-0,0-3,2-4,0,0,0,4,1,1,0,0,2,0/0,2,广厦,2016-12-25
霍尔曼,32,28:31,否,5-10,0-0,0-0,3,4,0,3,0,4,2,1,0,2/2,10,广厦,2016-12-25
孙铭徽,17,24:37,否,1-4,1-2,5-6,2,1,1,4,2,1,0,0,4,0/0,10,广厦,2016-12-25
苏若禹,5,19:44,否,0-3,0-0,3-6,4,2,0,2,1,0,0,0,3,0/0,3,广厦,2016-12-25
刘铮,11,01:09,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2016-12-25
张伟,24,11:08,否,0-3,0-0,0-0,3,0,2,0,1,0,0,0,0,0/0,0,广厦,2016-12-25
