player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈达迪,15,41,是,10-16,0-1,6-10,5,6,4,4,3,3,3,3,7,0/0,26,四川,2018-01-07
孟达,12,42,是,5-9,3-7,0-0,0,4,4,0,4,5,2,0,2,0/0,19,四川,2018-01-07
陈辰,32,36,是,3-4,2-5,2-2,2,5,1,2,0,2,0,0,1,0/0,14,四川,2018-01-07
吴楠,10,19,是,2-2,0-5,1-2,0,3,1,1,1,1,0,0,1,0/0,5,四川,2018-01-07
王政博,16,1,是,0-0,0-1,0-0,0,0,0,1,1,0,0,0,1,0/0,0,四川,2018-01-07
迪奥古,50,30,否,1-5,4-9,5-6,1,10,0,1,0,2,0,0,3,0/0,19,四川,2018-01-07
刘炜,8,45,否,5-9,1-1,0-0,3,6,9,1,1,0,0,0,3,0/0,13,四川,2018-01-07
陈晓东,30,16,否,1-2,1-1,4-4,0,0,0,1,0,0,0,0,2,0/0,9,四川,2018-01-07
徐煜峰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-07
张瀚月,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-07
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-07
杨越,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-07
黄荣奇,7,6,否,0-2,0-0,0-0,1,1,1,1,0,1,0,0,1,0/0,0,四川,2018-01-07
左朕年,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-07
赵杭,26,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-07
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-07
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-01-07
亚当斯,4,46,是,9-18,7-19,3-3,1,6,6,3,3,4,0,0,3,0/0,42,新疆,2018-01-07
孙桐林,55,30,是,6-8,0-0,0-0,3,2,0,3,0,3,1,0,1,0/0,12,新疆,2018-01-07
俞长栋,27,37,是,3-7,1-9,2-3,2,6,0,4,3,1,0,0,3,0/0,11,新疆,2018-01-07
西热力江,20,41,是,2-2,1-8,0-0,1,6,4,4,0,0,0,0,0,0/0,7,新疆,2018-01-07
可兰白克,13,10,是,0-0,0-3,0-0,0,1,0,1,1,2,0,0,1,0/0,0,新疆,2018-01-07
李根,1,37,否,2-4,2-5,4-4,3,2,0,2,0,2,0,0,3,0/0,14,新疆,2018-01-07
奥古斯托-利马,23,25,否,5-7,0-0,0-2,3,5,0,4,1,1,1,2,1,0/0,10,新疆,2018-01-07
李学林,6,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-07
王子瑞,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-07
刘丰博,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-07
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-07
阿不都沙拉木,23,9,否,0-1,0-0,0-0,1,3,1,0,0,0,0,0,0,0/0,0,新疆,2018-01-07
孙鸣阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-07
唐才育,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-07
