player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
富兰克林,11,39,是,9-12,1-5,8-9,3,6,7,5,1,3,2,1,13,0/0,29,四川,2018-12-23
贾森-汤普森,1,41,是,6-13,0-0,7-9,1,13,1,2,1,2,0,0,6,0/0,19,四川,2018-12-23
杨越,6,26,是,1-3,2-4,4-6,0,3,0,2,0,1,0,0,3,0/0,12,四川,2018-12-23
左朕年,13,21,是,1-4,0-3,2-2,1,2,1,1,0,2,0,0,1,0/0,4,四川,2018-12-23
黄荣奇,7,10,是,1-1,0-1,0-0,0,1,1,1,1,0,0,0,0,0/0,2,四川,2018-12-23
李柯七,17,36,否,1-2,2-4,2-4,1,3,2,1,3,1,1,0,2,0/0,10,四川,2018-12-23
陈晓东,30,18,否,3-4,0-0,4-6,3,0,0,5,0,0,0,0,3,0/0,10,四川,2018-12-23
孟达,12,29,否,3-3,1-5,0-2,0,0,1,3,2,1,0,0,2,0/0,9,四川,2018-12-23
曾文鼎,76,14,否,1-1,0-1,0-0,0,0,2,0,0,0,0,0,0,0/0,2,四川,2018-12-23
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-23
王政博,16,1,否,0-0,0-0,0-0,0,1,0,1,0,1,0,0,0,0/0,0,四川,2018-12-23
张海阔,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-23
景菡一,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-23
莫蒙尘,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-23
陈辰,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-23
闵庆飞,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-23
袁振梁,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-23
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-23
胡林森,8,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-23
汉斯布鲁,50,41,是,9-14,0-0,6-7,6,10,0,4,3,1,0,0,8,0/0,24,浙江,2018-12-23
程帅澎,6,42,是,7-13,1-5,1-1,2,3,7,4,2,4,0,0,4,0/0,18,浙江,2018-12-23
王奕博,7,46,是,0-9,3-5,2-2,1,2,4,2,1,4,0,0,4,0/0,11,浙江,2018-12-23
王仔路,23,15,是,2-6,2-4,0-0,1,1,0,6,0,0,0,0,1,0/0,10,浙江,2018-12-23
朱旭航,21,13,是,1-4,0-0,0-0,0,2,1,2,0,0,0,0,0,0/0,2,浙江,2018-12-23
赖俊豪,17,21,否,1-3,1-3,0-0,0,2,0,2,0,2,2,0,1,0/0,5,浙江,2018-12-23
江凯,93,27,否,1-1,0-3,2-3,1,1,3,6,1,3,0,0,2,0/0,4,浙江,2018-12-23
张大宇,24,10,否,2-4,0-0,0-0,0,3,0,0,0,0,1,0,1,0/0,4,浙江,2018-12-23
刘泽一,10,8,否,1-2,0-1,0-0,0,4,0,3,0,0,1,0,0,0/0,2,浙江,2018-12-23
孙岩松,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-12-23
付磊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-12-23
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-12-23
林孝天,5,11,否,0-0,0-2,0-0,0,0,2,1,0,0,0,0,0,0/0,0,浙江,2018-12-23
吴前,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-12-23
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-12-23
李宗翰,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-12-23
陆文博,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-12-23
邓蒙,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-12-23
