player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈达迪,15,44:31,是,16-28,0-0,19-25,6,11,7,5,2,6,8,6,16,0/0,51,四川,2017-01-13
王汝恒,24,43:51,是,3-5,3-8,3-3,2,0,2,2,0,2,1,0,4,0/0,18,四川,2017-01-13
孟达,12,40:04,是,5-6,1-4,1-1,0,1,5,5,2,2,0,0,4,0/0,14,四川,2017-01-13
张春军,20,42:39,是,3-5,0-2,2-2,2,5,1,3,3,0,0,0,0,1/1,8,四川,2017-01-13
陈晓东,30,08:31,是,0-1,0-0,2-2,2,2,1,0,0,0,1,0,1,0/0,2,四川,2017-01-13
约什-史密斯,5,27:29,否,5-9,1-4,2-5,0,7,1,3,0,3,1,0,3,0/0,15,四川,2017-01-13
蔡晨,7,15:29,否,3-4,0-1,1-2,3,2,0,4,0,0,0,0,2,0/0,7,四川,2017-01-13
杨越,6,07:08,否,1-2,0-0,1-1,0,1,1,1,0,0,0,0,1,0/0,3,四川,2017-01-13
吴楠,10,10:18,否,0-0,0-1,0-0,0,1,0,0,1,0,0,0,0,0/0,0,四川,2017-01-13
顾全,12,41:15,是,6-10,4-6,6-6,2,6,4,5,2,1,1,0,3,2/3,30,深圳,2017-01-13
杰里米-帕戈,2,37:41,是,10-21,1-6,2-2,2,2,7,2,1,2,0,1,1,1/2,25,深圳,2017-01-13
李慕豪,21,31:44,是,5-8,0-0,2-4,1,3,0,5,1,1,1,1,2,1/1,12,深圳,2017-01-13
孟铎,3,31:13,是,0-1,1-7,0-0,0,0,2,4,0,1,0,0,3,0/0,3,深圳,2017-01-13
张凯,7,08:31,是,1-1,0-0,0-0,1,1,0,3,0,1,0,0,0,0/0,2,深圳,2017-01-13
马齐-兰佩,30,34:19,否,9-11,1-6,1-2,2,9,3,4,2,1,1,0,9,1/1,22,深圳,2017-01-13
代怀博,22,21:26,否,0-1,3-3,1-4,0,2,0,5,1,2,0,0,2,0/0,10,深圳,2017-01-13
何忠勉,20,17:20,否,2-2,1-1,0-0,0,2,1,0,0,2,0,0,2,0/0,7,深圳,2017-01-13
于德豪,8,10:06,否,0-1,0-0,0-0,0,1,2,2,0,1,0,0,1,0/0,0,深圳,2017-01-13
赵捷,24,06:25,否,0-1,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,深圳,2017-01-13
