player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
刘炜,8,43,是,12-22,0-2,5-5,0,3,4,1,0,1,0,0,4,0/0,29,四川,2018-02-07
哈达迪,15,38,是,8-17,1-2,6-9,8,8,6,2,2,3,1,3,6,0/0,25,四川,2018-02-07
陈辰,32,42,是,6-8,3-7,0-0,3,2,4,2,1,1,1,0,0,0/0,21,四川,2018-02-07
黄荣奇,7,36,是,4-6,0-2,2-2,1,0,0,4,1,1,0,0,1,0/0,10,四川,2018-02-07
左朕年,13,20,是,1-2,0-4,0-0,1,3,0,1,1,0,0,0,2,0/0,2,四川,2018-02-07
迪奥古,50,30,否,5-10,1-6,0-0,1,7,5,3,0,6,0,1,2,0/0,13,四川,2018-02-07
杨越,6,5,否,1-2,1-1,0-0,0,1,0,0,0,0,0,0,1,0/0,5,四川,2018-02-07
徐煜峰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-07
张瀚月,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-07
李柯七,17,6,否,0-0,0-0,0-0,0,1,1,2,1,0,0,0,1,0/0,0,四川,2018-02-07
王政博,16,4,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-07
孟达,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-07
吴楠,10,5,否,0-0,0-0,0-2,0,0,0,0,0,0,1,0,1,0/0,0,四川,2018-02-07
陈晓东,30,3,否,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0,0/0,0,四川,2018-02-07
赵杭,26,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-07
侯天一,14,2,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,四川,2018-02-07
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-07
赵泰隆,73,38,是,4-8,7-10,3-3,2,1,4,2,0,1,0,0,4,0/0,32,福建,2018-02-07
王哲林,31,36,是,11-19,0-0,3-6,9,11,2,2,3,2,2,4,5,0/0,25,福建,2018-02-07
哈里斯,33,31,是,2-4,6-13,0-0,1,3,3,2,3,0,1,0,0,0/0,22,福建,2018-02-07
陈林坚,15,42,是,6-10,2-4,0-1,0,0,1,3,1,1,0,0,1,0/0,18,福建,2018-02-07
李江淮,5,14,是,2-5,0-1,0-0,1,2,1,2,0,1,0,0,0,0/0,4,福建,2018-02-07
史密斯,2,33,否,6-11,1-5,1-1,1,6,10,4,4,4,1,0,5,0/0,16,福建,2018-02-07
蔡晨,7,9,否,1-2,1-1,0-0,0,2,1,1,0,2,0,0,0,0/0,5,福建,2018-02-07
何重达,11,7,否,2-2,0-0,1-2,1,4,1,0,0,0,1,2,1,0/0,5,福建,2018-02-07
田桂森,0,4,否,1-1,0-2,0-0,1,0,0,0,0,0,0,0,0,0/0,2,福建,2018-02-07
孙喆,17,11,否,1-1,0-0,0-0,0,3,0,3,0,0,2,1,0,0/0,2,福建,2018-02-07
谢亚财,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-07
杨凯,9,5,否,0-1,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-07
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-07
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-07
王增杰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-07
黄毅超,14,5,否,0-0,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,福建,2018-02-07
周启新,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-07
郭磊,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-07
