player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈达迪,15,37:32,是,7-9,0-1,6-8,3,7,2,3,4,2,3,1,5,1/1,20,四川,2016-11-23
孟达,12,39:55,是,2-5,5-9,0-0,0,2,2,3,0,3,0,0,1,1/1,19,四川,2016-11-23
张春军,20,43:06,是,3-10,2-2,0-0,5,2,2,4,3,0,0,0,3,0/0,12,四川,2016-11-23
刘炜,8,37:24,是,4-13,0-0,0-0,0,4,1,4,1,3,0,0,0,0/0,8,四川,2016-11-23
陈晓东,30,09:46,是,0-1,0-0,0-0,0,0,0,0,0,2,0,0,1,0/0,0,四川,2016-11-23
约什-史密斯,5,34:28,否,4-9,3-10,6-15,1,12,3,5,0,4,4,0,7,1/1,23,四川,2016-11-23
王汝恒,24,22:27,否,3-5,0-2,1-3,1,1,1,2,1,1,0,0,5,2/2,7,四川,2016-11-23
蔡晨,7,03:14,否,1-3,0-1,0-0,0,0,0,2,0,0,1,0,2,0/0,2,四川,2016-11-23
吴楠,10,01:05,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2016-11-23
徐韬,9,10:57,否,0-1,0-0,0-0,1,1,0,2,0,1,0,0,2,0/0,0,四川,2016-11-23
哈德森,14,44:35,是,4-7,3-15,7-8,1,6,4,4,2,10,1,0,8,0/0,24,辽宁,2016-11-23
郭艾伦,13,34:51,是,6-12,3-5,2-5,2,5,2,2,2,2,0,0,5,2/2,23,辽宁,2016-11-23
韩德君,55,38:20,是,4-8,0-0,1-2,4,7,2,4,1,2,1,0,2,0/0,9,辽宁,2016-11-23
廉明,21,14:47,是,1-1,0-0,0-0,0,2,0,2,0,0,0,0,1,0/0,2,辽宁,2016-11-23
丛明晨,10,06:21,是,0-0,0-0,0-0,0,1,0,0,0,1,0,0,0,0/0,0,辽宁,2016-11-23
兰多夫,42,23:57,否,8-11,0-1,3-4,4,8,0,3,0,1,0,1,4,0/0,19,辽宁,2016-11-23
赵继伟,3,25:09,否,2-5,1-1,2-2,0,2,2,1,1,0,0,0,1,0/0,9,辽宁,2016-11-23
卫猛,23,18:56,否,3-6,0-0,0-0,2,2,1,6,0,2,0,1,1,1/1,6,辽宁,2016-11-23
刘志轩,11,26:32,否,1-5,1-2,0-0,0,2,2,3,0,1,0,0,3,0/0,5,辽宁,2016-11-23
杨鸣,12,06:32,否,1-2,0-0,0-0,0,1,2,1,0,0,0,0,0,0/0,2,辽宁,2016-11-23
