player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
普-杰特,3,34:33,是,3-5,3-6,5-6,0,1,5,0,1,3,0,0,8,0/0,20,天津,2016-11-11
萨尼-萨卡基尼,7,40:09,是,6-11,0-2,7-10,4,6,2,6,1,8,0,0,7,1/1,19,天津,2016-11-11
孟祥龙,14,38:39,是,1-3,2-3,0-0,0,1,1,1,1,0,0,0,0,0/0,8,天津,2016-11-11
田垒,1,17:51,是,0-1,1-4,0-0,0,2,1,1,0,1,0,0,1,0/0,3,天津,2016-11-11
张智涵,9,06:17,是,0-0,0-2,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2016-11-11
杰里米-泰勒,8,37:27,否,18-22,0-0,5-9,2,9,0,2,2,2,4,4,6,1/1,41,天津,2016-11-11
张楠,11,41:43,否,3-7,2-4,3-4,0,3,3,1,0,1,1,0,4,1/1,15,天津,2016-11-11
田野,4,13:26,否,1-1,0-1,0-0,0,1,2,3,0,1,0,0,1,0/0,2,天津,2016-11-11
时德帅,23,00:34,否,0-0,0-0,1-2,1,0,0,3,0,0,0,0,1,0/0,1,天津,2016-11-11
李荣培,15,09:21,否,0-0,0-1,0-0,1,0,0,2,0,0,0,0,0,0/0,0,天津,2016-11-11
徐磊,5,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2016-11-11
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,2,0,0,0,0/0,0,天津,2016-11-11
马布里,3,40:31,是,12-16,1-5,4-7,1,3,10,2,2,4,0,0,8,2/3,31,北京,2016-11-11
吉喆,51,42:55,是,7-7,3-5,0-0,1,1,1,5,1,3,0,1,2,2/2,23,北京,2016-11-11
孙悦,9,40:27,是,2-5,5-7,2-2,1,8,3,4,0,1,2,0,2,1/1,21,北京,2016-11-11
翟晓川,20,25:55,是,1-4,1-3,4-4,1,4,5,3,0,0,0,0,2,0/1,9,北京,2016-11-11
张松涛,35,08:02,是,1-2,0-0,0-0,2,2,0,1,0,2,0,0,0,0/0,2,北京,2016-11-11
莫里斯,32,31:29,否,6-13,0-0,2-2,2,6,2,5,1,4,1,1,2,0/0,14,北京,2016-11-11
段江鹏,11,20:13,否,1-3,2-2,0-0,0,2,1,1,0,1,1,0,0,1/1,8,北京,2016-11-11
方硕,8,10:33,否,1-3,0-0,1-1,0,0,1,2,0,0,0,0,1,0/0,3,北京,2016-11-11
张庆鹏,18,10:04,否,0-2,1-2,0-0,0,1,0,0,0,1,0,0,0,0/0,3,北京,2016-11-11
王骁辉,33,02:46,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2016-11-11
朱彦西,13,07:05,否,0-0,0-0,0-0,0,0,0,6,0,3,0,0,1,0/0,0,北京,2016-11-11
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,0,0,0,0,0/0,0,北京,2016-11-11
