player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
萨尼-萨卡基尼,7,36:00,是,9-18,0-1,7-7,4,9,3,5,1,5,0,0,7,2/2,25,天津,2016-12-04
张智涵,9,26:57,是,2-5,4-9,2-4,0,0,2,4,3,2,1,0,3,1/3,18,天津,2016-12-04
杰里米-泰勒,8,33:29,是,4-8,0-0,6-10,4,7,4,2,1,7,1,0,10,0/0,14,天津,2016-12-04
李荣培,15,23:26,是,1-3,0-2,1-1,1,3,1,5,1,1,0,0,1,1/1,3,天津,2016-12-04
张楠,11,07:08,是,1-1,0-0,0-0,0,0,1,2,1,0,0,0,0,0/0,2,天津,2016-12-04
普-杰特,3,26:31,否,4-10,9-13,2-3,0,3,3,1,2,5,0,0,3,0/0,37,天津,2016-12-04
孟祥龙,14,28:52,否,1-1,3-9,2-2,0,1,4,4,2,0,0,0,2,1/1,13,天津,2016-12-04
张骥,13,14:07,否,2-3,0-0,1-1,3,1,0,0,0,0,0,0,1,0/0,5,天津,2016-12-04
田野,4,01:10,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,天津,2016-12-04
田垒,1,00:00,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,天津,2016-12-04
崔晋铭,5,25:52,是,3-5,4-5,3-5,1,2,3,5,4,4,0,0,4,0/0,21,吉林,2016-12-04
M.I.托马斯,9,33:32,是,8-11,0-2,0-0,6,12,4,1,0,5,0,1,1,0/0,16,吉林,2016-12-04
张彪,14,18:13,是,6-9,0-0,1-2,0,1,0,2,1,1,0,0,2,0/1,13,吉林,2016-12-04
卡姆拉尼,7,26:57,是,4-6,1-3,2-4,1,2,7,3,7,4,0,0,3,2/3,13,吉林,2016-12-04
柴长易,6,06:00,是,0-1,0-0,0-0,0,1,0,2,0,0,0,0,0,0/0,0,吉林,2016-12-04
J.A.布朗,55,36:13,否,6-12,6-9,7-7,1,4,4,1,1,5,0,2,7,3/4,37,吉林,2016-12-04
钟诚,12,24:31,否,1-1,2-5,2-5,0,1,1,4,1,2,0,0,3,0/0,10,吉林,2016-12-04
刘天意,1,10:59,否,0-0,1-1,4-4,0,2,0,1,0,0,0,0,2,0/0,7,吉林,2016-12-04
李安,4,16:52,否,3-5,0-0,0-0,1,4,0,5,0,0,1,1,1,0/0,6,吉林,2016-12-04
肖剑,11,07:39,否,0-0,0-1,0-0,1,2,0,2,0,0,0,0,0,0/0,0,吉林,2016-12-04
蔡李龙,20,08:29,否,0-1,0-2,0-0,0,1,1,1,0,0,0,0,0,0/0,0,吉林,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,0,0,0,0,0/0,0,吉林,2016-12-04
