player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
萨尼-萨卡基尼,7,39:36,是,9-14,0-2,5-5,0,12,4,4,2,2,0,1,3,1/2,23,天津,2016-11-20
普-杰特,3,35:33,是,7-10,2-5,1-1,0,2,11,1,0,2,0,0,1,0/0,21,天津,2016-11-20
李荣培,15,31:27,是,3-6,1-3,4-4,2,1,2,2,2,1,0,0,6,0/0,13,天津,2016-11-20
时德帅,23,09:20,是,2-2,1-1,0-0,2,0,1,1,0,1,0,0,2,0/0,7,天津,2016-11-20
孟祥龙,14,07:33,是,0-0,1-4,0-0,0,0,0,2,0,0,0,0,1,0/0,3,天津,2016-11-20
杰里米-泰勒,8,34:34,否,13-21,0-1,2-4,4,9,1,3,4,3,3,3,9,2/2,28,天津,2016-11-20
张智涵,9,32:07,否,3-3,4-4,1-2,1,1,3,4,0,0,0,2,1,3/3,19,天津,2016-11-20
张楠,11,20:01,否,3-5,0-2,2-2,0,0,3,0,1,0,0,0,2,2/2,8,天津,2016-11-20
张骥,13,03:23,否,0-0,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,天津,2016-11-20
田野,4,17:19,否,0-1,0-2,0-0,2,1,1,2,1,1,0,0,0,0/0,0,天津,2016-11-20
田垒,1,07:24,否,0-0,0-4,0-0,0,1,0,2,0,0,0,0,0,0/0,0,天津,2016-11-20
徐磊,5,01:43,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,天津,2016-11-20
未确认,--,--,--,0-0,0-0,0-0,1,4,0,0,0,0,0,0,0,0/0,0,天津,2016-11-20
布莱尔,45,41:20,是,18-25,0-0,6-7,7,13,1,5,0,7,0,0,6,0/0,42,同曦,2016-11-20
阿巴斯,15,34:31,是,3-11,0-3,4-4,3,7,2,3,2,2,0,0,6,1/1,10,同曦,2016-11-20
马壮,5,22:32,是,0-2,1-5,0-0,0,0,1,3,0,2,1,0,0,0/0,3,同曦,2016-11-20
范成林,35,07:04,是,1-1,0-1,0-0,0,0,0,1,1,0,0,0,0,0/0,2,同曦,2016-11-20
冯欣,66,19:48,是,0-1,0-3,0-0,0,0,2,2,0,1,0,0,0,0/0,0,同曦,2016-11-20
张财宝,22,28:12,否,1-4,3-6,2-2,0,1,1,3,0,4,0,0,5,0/1,13,同曦,2016-11-20
唐正东,9,10:42,否,5-9,0-0,0-0,0,0,0,0,0,0,0,0,2,0/0,10,同曦,2016-11-20
于长春,24,27:19,否,0-1,1-4,1-2,1,1,0,1,1,0,0,0,1,1/1,4,同曦,2016-11-20
宋建骅,8,23:55,否,0-2,1-3,0-0,1,3,2,3,0,4,0,0,0,1/1,3,同曦,2016-11-20
郭一飞,10,04:22,否,1-1,0-1,0-0,0,1,0,0,0,0,0,0,1,0/0,2,同曦,2016-11-20
买尔丹,33,15:47,否,1-1,0-0,0-1,2,0,0,3,0,1,0,0,1,0/0,2,同曦,2016-11-20
毕鹏飞,23,04:28,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,同曦,2016-11-20
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,0,0,0,0,0/0,0,同曦,2016-11-20
