player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
霍尔曼,32,43,是,13-24,1-1,5-6,8,8,2,3,1,3,0,2,5,0/0,34,天津,2017-12-07
张智涵,9,40,是,3-7,6-7,0-0,1,2,0,1,1,2,0,1,1,0/0,24,天津,2017-12-07
李荣培,7,40,是,5-9,1-5,4-6,1,4,5,3,7,1,2,0,3,0/0,17,天津,2017-12-07
田垒,1,28,是,1-2,1-7,0-0,1,4,2,6,0,1,1,0,2,0/0,5,天津,2017-12-07
史仪,22,2,是,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-07
普-杰特,3,28,否,3-8,3-9,1-2,0,4,8,1,4,1,0,0,3,0/0,16,天津,2017-12-07
田野,17,28,否,1-3,1-4,2-2,0,5,5,4,0,0,0,0,1,0/0,7,天津,2017-12-07
时德帅,23,19,否,0-1,0-2,1-2,2,4,1,0,1,1,0,0,1,0/0,1,天津,2017-12-07
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-07
韩博林,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-07
高森堡,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-07
徐磊,77,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-07
孟祥龙,14,4,否,0-0,0-2,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-07
刘伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-07
于刚,77,4,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,1,0/0,0,天津,2017-12-07
张骥,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-07
张晓阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-07
金鑫,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-07
左朕年,13,36,是,3-6,3-4,2-2,0,0,0,3,1,0,1,0,2,0/0,17,四川,2017-12-07
孟达,12,37,是,1-6,3-5,1-1,1,0,2,4,0,1,0,0,1,0/0,12,四川,2017-12-07
哈达迪,15,43,是,5-10,0-2,1-1,2,18,6,4,0,4,3,1,2,0/0,11,四川,2017-12-07
刘炜,8,40,是,1-7,2-5,1-2,0,2,2,0,0,3,0,0,2,0/0,9,四川,2017-12-07
吴楠,10,22,是,1-4,2-5,0-0,2,1,1,1,1,2,0,0,2,0/0,8,四川,2017-12-07
富兰克林,11,28,否,3-7,3-4,6-8,1,10,4,0,3,4,0,0,8,0/0,21,四川,2017-12-07
陈晓东,30,11,否,4-5,0-1,0-0,1,1,0,2,0,0,0,0,0,0/0,8,四川,2017-12-07
黄荣奇,7,12,否,2-3,0-1,1-2,0,2,0,1,0,1,0,0,2,0/0,5,四川,2017-12-07
徐煜峰,9,4,否,0-2,0-0,2-2,1,0,0,1,0,0,0,0,1,0/0,2,四川,2017-12-07
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-07
张瀚月,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-07
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-07
杨越,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-07
王政博,16,2,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,四川,2017-12-07
赵杭,26,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-07
陈辰,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-07
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-07
