player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
普-杰特,3,42:01,是,7-11,2-8,7-8,0,6,10,5,2,1,0,0,9,0/0,27,天津,2016-11-04
萨尼-萨卡基尼,7,39:00,是,8-12,0-0,8-13,3,8,2,5,2,5,0,0,8,0/0,24,天津,2016-11-04
田垒,1,28:15,是,0-0,4-6,3-4,1,7,0,5,0,1,0,0,3,0/0,15,天津,2016-11-04
张智涵,9,31:02,是,4-6,1-3,0-0,0,0,1,3,0,0,0,0,0,2/2,11,天津,2016-11-04
孟祥龙,14,18:37,是,1-2,0-2,1-2,1,0,0,0,0,1,0,0,2,0/1,3,天津,2016-11-04
杰里米-泰勒,8,29:57,否,14-23,0-0,3-7,4,6,3,6,3,0,2,4,5,0/0,31,天津,2016-11-04
张楠,11,27:47,否,1-2,1-2,5-6,0,1,0,3,0,3,1,0,3,0/0,10,天津,2016-11-04
李荣培,15,15:44,否,1-1,0-0,0-0,1,1,2,1,0,2,0,0,0,0/0,2,天津,2016-11-04
田野,4,07:32,否,0-0,0-0,0-0,0,0,0,1,1,0,0,0,0,0/0,0,天津,2016-11-04
张骥,13,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2016-11-04
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,天津,2016-11-04
贾森-汤普森,1,33:57,是,10-19,0-1,10-12,8,13,0,4,1,1,0,2,9,0/0,30,山东,2016-11-04
丁彦雨航,2,42:10,是,3-9,3-9,3-4,2,4,0,5,1,0,1,0,4,1/2,18,山东,2016-11-04
睢冉,6,37:35,是,5-6,0-3,0-2,2,1,3,4,2,4,0,0,1,0/0,10,山东,2016-11-04
张辉,4,20:20,是,1-2,1-2,0-0,1,1,3,4,1,0,0,0,1,0/0,5,山东,2016-11-04
曹振华,11,08:35,是,2-4,0-0,0-0,1,1,0,1,0,0,0,0,1,1/1,4,山东,2016-11-04
诺里斯-科尔,30,37:07,否,6-14,3-7,12-14,0,1,3,3,1,5,0,0,11,1/1,33,山东,2016-11-04
李敬宇,8,28:45,否,3-4,2-6,0-0,0,2,0,2,0,1,0,0,0,0/0,12,山东,2016-11-04
陶汉林,20,24:50,否,5-9,0-0,0-0,3,2,0,5,2,1,0,1,1,0/0,10,山东,2016-11-04
文雁行,17,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2016-11-04
李泓翰,7,06:36,否,0-0,0-1,0-0,1,0,0,2,0,0,0,0,1,0/0,0,山东,2016-11-04
