player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
萨尼-萨卡基尼,7,48:00,是,7-17,3-6,18-20,4,8,1,1,5,0,1,1,11,2/2,41,天津,2016-12-30
普-杰特,3,48:00,是,6-10,3-11,7-8,0,6,9,1,1,1,0,0,5,0/1,28,天津,2016-12-30
张智涵,9,31:45,是,2-4,1-2,0-0,2,3,3,3,1,2,0,0,1,1/2,7,天津,2016-12-30
李荣培,15,25:33,是,1-4,1-2,0-1,1,0,1,5,0,1,0,0,1,0/0,5,天津,2016-12-30
时德帅,23,09:57,是,0-1,0-1,0-0,0,2,0,0,1,0,0,0,0,0/0,0,天津,2016-12-30
田垒,1,34:27,否,3-6,5-11,3-5,2,4,1,5,1,1,1,0,2,1/1,24,天津,2016-12-30
张楠,11,20:04,否,3-3,0-2,4-5,2,2,0,2,0,3,1,1,5,1/1,10,天津,2016-12-30
孟祥龙,14,18:38,否,0-4,1-2,2-2,0,1,0,4,0,0,0,0,1,0/0,5,天津,2016-12-30
张骥,13,03:36,否,0-1,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,天津,2016-12-30
未确认,--,--,--,0-0,0-0,0-0,4,3,0,0,0,0,0,0,0,0/0,0,天津,2016-12-30
富兰克林,11,46:22,是,7-12,5-12,6-7,2,15,8,5,4,9,6,2,9,1/1,35,山西,2016-12-30
任骏威,21,36:45,是,6-11,1-6,4-6,2,3,0,3,0,2,0,0,3,1/1,19,山西,2016-12-30
田桂森,3,37:11,是,3-8,2-5,0-2,3,2,3,5,1,1,1,0,1,0/0,12,山西,2016-12-30
侯兴宇,5,19:19,是,2-4,0-0,4-4,5,1,0,2,0,2,0,0,2,0/0,8,山西,2016-12-30
原帅,7,20:53,是,1-2,1-2,0-0,0,0,2,2,0,0,0,0,0,1/1,5,山西,2016-12-30
亨利-西姆斯,36,24:31,否,6-9,0-1,3-4,1,10,2,4,1,4,0,2,3,0/1,15,山西,2016-12-30
闫鹏飞,9,15:03,否,4-5,0-1,0-0,2,4,0,3,0,0,0,0,0,0/0,8,山西,2016-12-30
曾令旭,6,20:37,否,1-2,2-2,0-0,0,2,0,2,0,0,0,0,0,1/2,8,山西,2016-12-30
张学文,33,13:38,否,0-2,0-0,3-4,1,0,1,0,0,1,0,0,3,0/1,3,山西,2016-12-30
王磊,8,03:49,否,0-0,0-1,0-0,0,0,0,0,1,1,0,0,0,0/0,0,山西,2016-12-30
王洪,4,01:52,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山西,2016-12-30
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,0,0,0,0,0/0,0,山西,2016-12-30
