player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
德里克-威廉姆斯,24,42,是,8-11,1-5,7-9,2,5,2,5,3,2,0,2,5,0/0,26,天津,2018-01-26
李荣培,7,43,是,2-8,3-9,5-6,1,3,1,3,2,1,0,0,3,0/0,18,天津,2018-01-26
张智涵,9,41,是,2-7,3-5,1-4,0,3,1,0,0,0,0,0,4,0/0,14,天津,2018-01-26
时德帅,23,37,是,1-1,1-2,0-0,0,3,4,3,2,2,0,0,0,0/0,5,天津,2018-01-26
田野,17,17,是,0-0,0-1,2-2,0,1,1,3,0,2,0,0,1,0/0,2,天津,2018-01-26
普-杰特,3,28,否,5-8,0-7,7-10,0,2,4,1,0,2,0,0,8,0/0,17,天津,2018-01-26
于刚,77,4,否,1-2,0-0,0-0,1,0,0,0,2,0,0,0,1,0/0,2,天津,2018-01-26
田垒,1,9,否,1-1,0-1,0-0,0,1,0,0,0,0,1,0,0,0/0,2,天津,2018-01-26
金鑫,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-26
韩博林,6,2,否,0-1,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,天津,2018-01-26
高森堡,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-26
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-26
徐磊,5,4,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-26
孟祥龙,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-26
刘伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-26
张骥,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-26
张晓阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-26
史仪,22,8,否,0-0,0-1,0-0,0,0,1,2,0,0,0,0,0,0/0,0,天津,2018-01-26
尼克尔森,44,35,是,10-15,3-5,0-0,1,3,2,2,1,3,0,2,5,0/0,29,广东,2018-01-26
易建联,9,25,是,5-10,0-1,4-6,4,12,0,1,0,2,0,1,5,0/0,14,广东,2018-01-26
周鹏,11,19,是,4-6,0-2,1-1,1,6,4,1,1,1,1,1,1,0/0,9,广东,2018-01-26
赵睿,0,18,是,2-2,1-1,2-2,0,1,2,4,0,2,0,0,1,0/0,9,广东,2018-01-26
杨金蒙,17,18,是,0-1,2-3,0-0,0,1,0,1,0,1,0,0,0,0/0,6,广东,2018-01-26
达柳斯-莫里斯,2,26,否,6-9,1-4,1-2,2,5,6,2,1,1,0,0,3,0/0,16,广东,2018-01-26
王薪凯,5,25,否,0-0,4-4,0-0,0,1,0,3,0,1,0,0,0,0/0,12,广东,2018-01-26
任骏飞,20,25,否,5-6,0-0,0-0,2,3,3,3,1,1,0,0,1,0/0,10,广东,2018-01-26
周湛东,3,19,否,3-4,1-3,0-0,0,4,1,0,2,1,0,0,1,0/0,9,广东,2018-01-26
邵英伦,13,6,否,3-3,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,6,广东,2018-01-26
胡明轩,16,9,否,1-2,0-0,2-2,0,3,1,1,0,0,0,0,1,0/0,4,广东,2018-01-26
曾繁日,22,7,否,1-2,0-0,0-0,1,1,1,4,0,2,0,0,0,0/0,2,广东,2018-01-26
赵戌宏,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-26
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-26
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-26
