player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
普-杰特,3,45:06,是,5-10,7-14,3-3,3,5,7,3,2,5,0,0,6,1/1,34,天津,2017-01-11
萨尼-萨卡基尼,7,42:19,是,5-11,2-5,12-14,9,8,1,4,2,7,0,0,11,1/1,28,天津,2017-01-11
张骥,13,24:50,是,4-6,0-0,2-2,2,6,0,5,0,0,0,0,3,0/0,10,天津,2017-01-11
张智涵,9,26:33,是,0-2,3-6,1-2,0,0,1,0,0,2,0,0,3,0/0,10,天津,2017-01-11
李荣培,15,22:30,是,0-3,0-1,1-2,2,1,1,4,0,4,1,0,1,0/0,1,天津,2017-01-11
孟祥龙,14,30:41,否,4-5,2-5,2-3,0,1,3,5,1,0,0,0,4,3/4,16,天津,2017-01-11
时德帅,23,17:26,否,2-5,0-1,1-2,2,0,0,4,0,1,0,0,3,0/0,5,天津,2017-01-11
史仪,2,19:10,否,1-1,0-3,1-2,0,0,7,1,0,0,0,0,1,0/0,3,天津,2017-01-11
田垒,1,04:00,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,天津,2017-01-11
徐磊,5,07:25,否,0-0,0-1,0-0,0,1,0,2,0,0,1,0,0,0/0,0,天津,2017-01-11
未确认,--,--,--,0-0,0-0,0-0,4,3,0,0,0,0,0,0,0,0/0,0,天津,2017-01-11
霍尔曼,32,27:00,是,8-11,0-0,3-6,1,1,2,5,1,4,3,5,5,2/2,19,广厦,2017-01-11
胡金秋,21,28:58,是,8-12,0-0,2-5,3,1,1,4,1,0,2,1,3,4/4,18,广厦,2017-01-11
刘铮,11,28:45,是,3-3,3-6,2-2,2,4,4,1,2,1,0,0,2,0/1,17,广厦,2017-01-11
林志杰,27,28:05,是,3-4,2-6,0-0,1,4,4,6,2,3,0,0,1,2/2,12,广厦,2017-01-11
孙铭徽,17,32:02,是,3-6,1-3,0-0,2,1,10,2,2,2,1,0,3,1/1,9,广厦,2017-01-11
李京龙,9,23:22,否,0-0,7-11,0-0,0,2,1,3,2,0,0,0,0,1/1,21,广厦,2017-01-11
福特森,4,22:26,否,2-3,1-4,6-7,2,4,5,4,1,3,0,0,11,1/1,13,广厦,2017-01-11
苏若禹,5,17:31,否,4-5,0-0,0-1,1,4,0,4,1,1,1,0,1,0/0,8,广厦,2017-01-11
张伟,24,10:23,否,1-1,1-3,0-0,0,0,0,1,0,0,0,0,0,0/0,5,广厦,2017-01-11
王征,13,18:34,否,1-4,0-0,2-2,0,4,1,3,0,1,0,1,1,1/1,4,广厦,2017-01-11
赵岩昊,25,02:54,否,0-0,0-0,0-0,0,0,2,0,0,0,0,0,0,0/0,0,广厦,2017-01-11
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,广厦,2017-01-11
