player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
罗切斯特,22,45,是,6-10,3-6,9-9,2,11,17,2,2,2,0,0,8,0/0,30,天津,2018-10-23
时德帅,23,48,是,8-10,1-4,2-2,3,4,2,4,0,2,1,0,1,0/0,21,天津,2018-10-23
李荣培,7,35,是,4-7,2-6,1-2,2,1,2,5,0,4,0,0,3,0/0,15,天津,2018-10-23
刘伟,21,18,是,5-8,0-0,0-0,0,1,0,6,0,0,0,0,1,0/0,10,天津,2018-10-23
孟祥龙,14,17,是,0-3,0-3,0-0,1,1,1,2,0,0,0,0,0,0/0,0,天津,2018-10-23
科尔-阿尔德里奇,45,26,否,5-14,0-0,2-2,6,3,4,1,2,0,1,3,3,0/0,12,天津,2018-10-23
金鑫,10,14,否,2-3,1-1,0-1,1,0,0,2,0,0,0,0,2,0/0,7,天津,2018-10-23
田野,17,20,否,0-0,1-2,0-0,0,1,0,4,0,1,0,0,0,0/0,3,天津,2018-10-23
于刚,77,3,否,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,天津,2018-10-23
张智涵,9,7,否,1-1,0-2,0-0,0,0,2,0,0,1,0,0,1,0/0,2,天津,2018-10-23
刘帅,12,2,否,0-0,0-0,1-2,0,0,0,1,0,1,0,0,1,0/0,1,天津,2018-10-23
徐磊,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-10-23
张晓阳,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-10-23
栾晓君,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-10-23
韩博林,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-10-23
田雨,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-10-23
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-10-23
史仪,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-10-23
高森堡,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-10-23
弗格,18,40,是,6-13,2-8,14-15,3,7,8,3,1,1,0,0,13,0/0,32,广州,2018-10-23
斯贝茨,5,31,是,7-12,4-13,4-4,1,5,2,2,1,3,1,0,2,0/0,30,广州,2018-10-23
鞠明欣,8,35,是,4-7,0-1,1-1,6,4,2,5,1,2,0,0,3,0/0,9,广州,2018-10-23
西热力江,20,36,是,0-0,2-9,1-2,1,2,3,2,0,1,0,0,1,0/0,7,广州,2018-10-23
张永鹏,33,35,是,1-3,0-0,4-4,3,3,0,2,0,3,0,0,4,0/0,6,广州,2018-10-23
陈盈骏,2,20,否,2-3,3-5,0-0,3,2,0,4,2,0,0,0,3,0/0,13,广州,2018-10-23
郑准,50,18,否,1-2,2-3,0-0,0,1,2,1,0,1,0,0,0,0/0,8,广州,2018-10-23
郭凯,14,10,否,3-4,0-0,0-0,1,0,1,1,2,0,1,0,0,0/0,6,广州,2018-10-23
衡艺丰,21,10,否,0-0,1-1,0-0,0,1,1,1,1,0,0,0,1,0/0,3,广州,2018-10-23
谷玥灼,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-23
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-23
姚天一,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-23
宋帅,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-23
司坤,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-23
李炎哲,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-23
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-23
田宇恒,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-23
