player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
普-杰特,3,38:58,是,4-7,4-12,6-7,2,2,9,2,0,3,0,0,5,0/1,26,天津,2016-12-18
萨尼-萨卡基尼,7,45:39,是,6-16,0-1,2-2,3,16,1,4,1,2,2,0,3,0/0,14,天津,2016-12-18
时德帅,23,11:00,是,2-2,0-2,2-2,0,0,0,3,1,1,0,0,2,0/0,6,天津,2016-12-18
张智涵,9,28:37,是,0-3,2-4,0-0,0,1,1,0,1,1,0,0,0,0/2,6,天津,2016-12-18
李荣培,15,28:25,是,1-3,1-2,1-2,3,2,1,1,1,1,0,0,3,0/0,6,天津,2016-12-18
杰里米-泰勒,8,31:34,否,9-14,0-0,3-6,2,6,0,2,2,5,1,2,5,1/1,21,天津,2016-12-18
韩博林,6,27:41,否,0-2,2-4,0-0,1,5,1,6,1,2,0,0,3,1/1,6,天津,2016-12-18
张楠,11,11:17,否,1-3,1-3,0-0,0,1,1,0,1,1,0,0,0,0/1,5,天津,2016-12-18
张骥,13,03:58,否,2-2,0-0,0-0,0,0,0,4,0,0,0,1,2,1/1,4,天津,2016-12-18
田野,4,09:02,否,0-1,0-2,2-2,1,0,0,3,0,0,0,0,1,0/0,2,天津,2016-12-18
田垒,1,02:21,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,天津,2016-12-18
徐磊,5,01:28,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,天津,2016-12-18
未确认,--,--,--,0-0,0-0,0-0,4,3,0,0,0,0,0,0,0,0/0,0,天津,2016-12-18
亚当斯,4,43:15,是,6-11,10-18,10-12,1,6,4,2,0,5,0,0,12,3/3,52,新疆,2016-12-18
可兰白克,13,30:43,是,2-4,3-5,0-0,0,4,2,4,1,3,0,0,0,0/0,13,新疆,2016-12-18
周琦,9,42:44,是,5-10,0-1,2-4,1,9,1,2,2,1,3,5,4,1/1,12,新疆,2016-12-18
俞长栋,7,20:35,是,1-2,0-1,0-0,2,2,3,5,0,0,0,0,0,0/0,2,新疆,2016-12-18
西热力江,20,06:39,是,0-0,0-1,0-0,1,0,0,2,0,1,0,0,1,0/0,0,新疆,2016-12-18
本杰明-本特尔,50,20:55,否,1-6,3-5,1-2,0,5,0,0,3,0,0,0,2,0/1,12,新疆,2016-12-18
孙鸣阳,21,11:40,否,2-3,0-0,1-2,0,1,0,4,0,0,0,0,1,0/0,5,新疆,2016-12-18
李根,1,20:24,否,0-1,1-4,0-0,1,0,1,3,0,1,0,0,0,0/0,3,新疆,2016-12-18
王子瑞,30,19:50,否,1-1,0-3,1-2,0,0,1,1,1,0,0,0,2,1/1,3,新疆,2016-12-18
罗旭东,6,23:15,否,1-3,0-1,0-0,1,3,4,2,1,1,0,0,4,1/1,2,新疆,2016-12-18
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,0,0,0,0,0/0,0,新疆,2016-12-18
