player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
普-杰特,3,39:21,是,6-9,2-9,4-6,1,5,9,1,2,5,0,0,8,0/0,22,天津,2016-11-23
萨尼-萨卡基尼,7,40:37,是,4-10,0-0,13-19,6,7,3,2,0,3,1,0,13,1/2,21,天津,2016-11-23
孟祥龙,14,23:39,是,2-3,1-4,0-0,0,2,0,5,1,0,0,0,0,0/0,7,天津,2016-11-23
李荣培,15,22:31,是,1-2,1-3,0-2,2,0,1,2,0,0,0,0,1,0/0,5,天津,2016-11-23
时德帅,23,08:27,是,0-0,1-1,0-0,0,2,2,6,0,1,0,0,2,0/0,3,天津,2016-11-23
杰里米-泰勒,8,32:39,否,10-22,0-0,2-2,5,11,1,4,0,1,4,0,2,0/0,22,天津,2016-11-23
张智涵,9,38:08,否,3-4,3-8,0-0,0,1,0,0,0,0,0,0,2,2/3,15,天津,2016-11-23
田垒,1,14:17,否,2-3,0-1,0-0,0,1,0,4,0,0,0,0,0,0/0,4,天津,2016-11-23
田野,4,08:39,否,0-0,0-0,0-0,0,0,0,3,1,1,0,0,0,0/0,0,天津,2016-11-23
张楠,11,11:42,否,0-0,0-1,0-0,0,0,1,1,0,0,0,0,0,0/0,0,天津,2016-11-23
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,天津,2016-11-23
布鲁克斯,2,41:03,是,14-21,3-8,3-3,3,3,3,2,2,0,0,0,4,4/5,40,江苏,2016-11-23
易立,8,42:41,是,5-7,0-2,1-4,1,8,3,4,1,3,0,1,5,1/1,11,江苏,2016-11-23
柳伟,15,20:17,是,3-4,0-0,2-2,0,2,0,6,0,0,0,0,3,1/1,8,江苏,2016-11-23
李原宇,16,11:15,是,2-3,0-0,0-0,0,2,0,4,0,1,0,0,1,0/0,4,江苏,2016-11-23
常亚松,5,15:06,是,0-0,0-1,0-0,0,0,1,4,0,0,0,0,0,0/0,0,江苏,2016-11-23
常林,45,33:31,否,4-9,4-4,4-8,2,7,1,5,1,0,1,1,6,1/2,24,江苏,2016-11-23
萨缪尔斯,24,30:57,否,4-10,0-2,8-8,2,7,0,3,2,5,1,1,6,0/1,16,江苏,2016-11-23
胡雪峰,55,32:54,否,1-1,1-2,0-0,1,3,1,1,2,4,0,0,1,1/1,5,江苏,2016-11-23
陈磊,22,06:57,否,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2016-11-23
侯逸凡,31,05:19,否,0-0,0-1,0-0,0,1,0,0,1,0,0,0,0,0/0,0,江苏,2016-11-23
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,江苏,2016-11-23
