player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
普-杰特,3,39:38,是,5-9,5-12,5-6,0,3,10,4,2,3,0,0,4,1/2,30,天津,2017-02-05
萨尼-萨卡基尼,7,44:48,是,7-11,2-4,7-9,5,8,3,3,1,5,0,1,9,1/2,27,天津,2017-02-05
李荣培,15,36:17,是,5-6,1-3,0-0,1,4,3,3,4,1,1,0,1,3/3,13,天津,2017-02-05
孟祥龙,14,37:03,是,1-2,1-7,2-2,3,2,2,3,1,0,0,0,2,1/1,7,天津,2017-02-05
田垒,1,18:46,是,0-1,1-3,0-0,0,0,1,1,1,1,0,0,0,0/0,3,天津,2017-02-05
杰里米-泰勒,8,32:22,否,10-16,0-0,5-7,0,10,1,4,2,7,1,3,5,1/1,25,天津,2017-02-05
张智涵,9,15:36,否,2-3,0-2,0-0,0,0,1,0,0,0,0,1,1,2/2,4,天津,2017-02-05
张楠,11,07:04,否,1-1,0-0,0-0,1,0,1,0,1,0,0,0,1,0/0,2,天津,2017-02-05
史仪,2,08:26,否,0-1,0-1,0-0,0,0,1,2,0,2,0,0,1,0/0,0,天津,2017-02-05
未确认,--,--,--,0-0,0-0,0-0,3,2,0,0,0,0,0,0,0,0/0,0,天津,2017-02-05
顾全,12,43:21,是,7-8,3-7,3-4,1,4,2,2,3,3,0,0,3,1/1,26,深圳,2017-02-05
孟铎,3,38:20,是,2-4,4-10,3-3,0,4,3,3,0,2,0,0,4,0/1,19,深圳,2017-02-05
李慕豪,21,33:59,是,6-8,0-0,1-1,0,2,3,3,1,1,1,2,1,0/0,13,深圳,2017-02-05
杰里米-帕戈,2,30:09,是,1-4,0-3,0-0,0,0,6,3,4,3,0,0,2,0/0,2,深圳,2017-02-05
张凯,7,02:37,是,0-2,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-02-05
马齐-兰佩,30,41:51,否,16-24,1-2,5-6,5,12,8,5,3,5,0,4,5,2/2,40,深圳,2017-02-05
代怀博,22,14:21,否,2-3,1-2,1-2,0,1,0,4,0,0,0,0,2,1/1,8,深圳,2017-02-05
罗汉琛,9,21:10,否,0-1,2-2,0-0,0,2,2,3,1,0,0,0,2,0/0,6,深圳,2017-02-05
何忠勉,20,11:00,否,0-1,1-1,0-0,0,1,1,1,0,2,0,0,0,0/0,3,深圳,2017-02-05
沈梓捷,11,03:12,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-02-05
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,深圳,2017-02-05
