player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
普-杰特,3,45,是,6-11,8-18,2-2,1,2,6,3,0,2,0,0,2,0/0,38,天津,2018-01-07
张智涵,9,39,是,8-8,1-7,1-2,0,3,3,2,0,3,0,0,2,0/0,20,天津,2018-01-07
李荣培,7,42,是,4-9,3-7,1-1,1,3,4,3,5,2,1,0,2,0/0,18,天津,2018-01-07
时德帅,23,16,是,0-1,1-2,0-0,4,2,0,2,2,0,0,0,2,0/0,3,天津,2018-01-07
徐磊,77,21,是,0-0,0-2,0-0,0,2,1,0,0,0,0,0,0,0/0,0,天津,2018-01-07
田垒,1,22,否,2-3,2-7,2-2,2,2,3,2,1,2,0,0,1,0/0,12,天津,2018-01-07
于刚,77,12,否,2-3,0-0,1-2,0,3,0,3,2,1,1,0,3,0/0,5,天津,2018-01-07
德里克-威廉姆斯,24,23,否,2-6,0-4,0-4,3,3,2,2,2,0,0,0,3,0/0,4,天津,2018-01-07
金鑫,10,12,否,1-1,0-1,0-0,1,1,0,1,0,0,0,0,0,0/0,2,天津,2018-01-07
田野,17,4,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,天津,2018-01-07
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-07
韩博林,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-07
高森堡,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-07
孟祥龙,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-07
刘伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-07
张骥,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-07
张晓阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-07
史仪,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-07
哈里斯,33,36,是,10-14,3-7,3-3,5,8,3,0,0,1,0,1,4,0/0,32,福建,2018-01-07
赵泰隆,73,39,是,4-6,4-8,6-7,2,2,4,3,0,0,0,0,3,0/0,26,福建,2018-01-07
陈林坚,15,41,是,2-2,7-14,0-0,0,3,2,2,3,4,0,0,0,0/0,25,福建,2018-01-07
孙喆,17,32,是,4-7,0-0,0-0,7,6,2,3,1,3,1,0,2,0/0,8,福建,2018-01-07
田桂森,0,3,是,0-0,0-1,0-0,0,1,1,0,0,0,0,0,0,0/0,0,福建,2018-01-07
史密斯,2,36,否,8-12,2-7,3-5,1,9,9,2,0,4,0,0,6,0/0,25,福建,2018-01-07
蔡晨,7,20,否,3-6,0-0,1-1,0,3,1,0,0,0,0,0,1,0/0,7,福建,2018-01-07
何重达,11,4,否,1-2,0-0,0-2,1,1,0,2,0,2,0,0,2,0/0,2,福建,2018-01-07
谢亚财,30,10,否,1-1,0-0,0-0,1,0,4,2,0,1,0,0,1,0/0,2,福建,2018-01-07
黄毅超,14,4,否,1-1,0-1,0-0,0,0,0,1,1,0,0,0,0,0/0,2,福建,2018-01-07
李江淮,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-07
杨凯,9,8,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-07
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-07
孙椿棚,13,2,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-07
王增杰,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-07
王哲林,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-07
周启新,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-07
郭磊,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-07
