player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
霍尔曼,32,37,是,11-15,0-0,10-12,5,12,3,5,1,2,2,1,9,0/0,32,天津,2017-10-28
李荣培,7,35,是,1-5,3-9,1-4,2,2,1,5,2,3,0,0,3,0/0,12,天津,2017-10-28
时德帅,23,14,是,2-2,0-1,0-0,3,1,0,3,0,1,0,0,0,0/0,4,天津,2017-10-28
史仪,22,13,是,0-1,1-3,0-0,0,0,5,3,2,1,0,0,1,0/0,3,天津,2017-10-28
孟祥龙,14,7,是,0-2,0-0,0-2,0,1,0,1,0,0,0,0,1,0/0,0,天津,2017-10-28
普-杰特,3,34,否,5-9,4-9,3-3,0,4,5,3,3,4,0,0,3,0/0,25,天津,2017-10-28
张智涵,9,33,否,2-4,2-3,4-4,0,5,1,3,0,2,0,0,2,0/0,14,天津,2017-10-28
徐磊,77,17,否,0-1,4-6,0-0,0,1,1,2,0,1,0,0,1,0/0,12,天津,2017-10-28
田垒,1,25,否,1-1,3-8,0-0,1,4,1,5,1,0,0,0,1,0/0,11,天津,2017-10-28
韩博林,6,20,否,2-5,0-2,0-2,2,2,1,0,1,1,0,1,4,0/0,4,天津,2017-10-28
张晓阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-10-28
张骥,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-10-28
于刚,77,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-10-28
刘伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-10-28
高森堡,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-10-28
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-10-28
田野,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-10-28
金鑫,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-10-28
吉布森,22,33,是,7-10,6-12,7-11,3,4,2,3,0,2,0,0,7,0/0,39,青岛,2017-10-28
苏伟,9,36,是,3-4,0-0,0-3,1,2,0,6,2,2,1,0,4,0/0,6,青岛,2017-10-28
孙杰,17,36,是,1-2,1-6,0-0,0,1,2,3,0,0,0,0,0,0/0,5,青岛,2017-10-28
高尚,0,32,是,1-7,0-4,3-4,5,9,1,4,2,1,0,0,4,0/0,5,青岛,2017-10-28
王庆明,32,19,是,1-3,0-0,1-2,4,2,1,5,1,2,0,0,1,0/0,3,青岛,2017-10-28
泰伦斯-琼斯,1,38,否,13-20,4-5,10-15,3,15,3,4,3,3,1,3,12,0/0,48,青岛,2017-10-28
张骋宇,6,26,否,5-11,0-1,0-0,0,2,2,0,0,1,0,0,0,0/0,10,青岛,2017-10-28
赵捷,24,16,否,1-2,0-0,1-1,1,0,0,0,0,0,0,0,2,0/0,3,青岛,2017-10-28
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-10-28
许家晗,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-10-28
刘鸿博,91,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-10-28
张昊,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-10-28
田嘉夫,14,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-10-28
宗赞,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-10-28
丁皓然,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-10-28
刘书楠,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-10-28
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-10-28
单梓桐,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-10-28
