player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
莫泰尤纳斯,12,46,是,10-19,1-7,9-13,5,27,6,3,2,2,3,2,11,0/0,32,山东,2018-11-13
吴楠,38,42,是,1-5,2-6,1-2,0,1,3,4,1,3,0,1,2,0/0,9,山东,2018-11-13
李泓翰,7,21,是,1-3,1-6,0-0,3,1,0,1,0,0,0,0,1,0/0,5,山东,2018-11-13
陶汉林,20,20,是,1-2,0-0,2-2,2,4,0,2,0,0,0,0,1,0/0,4,山东,2018-11-13
王汝恒,24,25,是,1-1,0-2,1-2,2,0,1,2,1,2,0,0,1,0/0,3,山东,2018-11-13
古德洛克,3,24,否,5-11,4-8,0-0,0,0,3,0,0,2,0,0,2,0/0,22,山东,2018-11-13
贾诚,23,28,否,4-7,0-2,5-7,4,5,3,3,0,2,1,0,4,0/0,13,山东,2018-11-13
张庆鹏,9,30,否,1-1,3-4,0-0,0,1,3,4,4,2,0,0,4,0/0,11,山东,2018-11-13
吴轲,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-13
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-13
张春军,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-13
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-13
张辉,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-13
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-13
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-13
弗雷戴特,32,44,是,7-14,3-12,10-11,0,6,6,3,4,5,0,0,8,0/0,33,上海,2018-11-13
张兆旭,23,32,是,4-8,0-0,1-1,2,8,0,3,1,1,1,0,2,0/0,9,上海,2018-11-13
罗旭东,13,26,是,4-8,0-2,0-0,2,2,3,5,1,4,0,0,1,0/0,8,上海,2018-11-13
董瀚麟,16,24,是,3-6,0-0,0-1,5,6,1,6,0,0,0,0,2,0/0,6,上海,2018-11-13
唐子豪,7,19,是,1-5,1-2,0-0,1,2,1,1,1,1,0,0,0,0/0,5,上海,2018-11-13
路易斯-斯科拉,4,25,否,5-13,2-2,3-4,2,6,2,3,1,1,0,0,2,0/0,19,上海,2018-11-13
蔡亮,1,21,否,3-5,0-3,2-2,1,2,2,2,0,0,0,0,1,0/0,8,上海,2018-11-13
罗汉琛,33,12,否,0-2,1-1,1-2,0,0,1,0,0,1,0,0,1,0/0,4,上海,2018-11-13
刘炜,8,18,否,1-3,0-0,2-2,1,3,0,0,0,1,0,0,2,0/0,4,上海,2018-11-13
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-13
罗智,27,5,否,0-1,0-3,0-0,0,0,0,1,0,0,0,0,0,0/0,0,上海,2018-11-13
孟令源,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-13
朱瀛,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-13
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-13
王潼,25,10,否,0-0,0-0,0-0,1,2,2,2,0,1,0,0,0,0/0,0,上海,2018-11-13
田雨晨,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-13
卢伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-13
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-13
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-13
