player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
贾森-汤普森,1,26:55,是,9-16,0-1,0-1,2,6,3,3,0,2,3,1,6,2/2,18,山东,2016-10-30
丁彦雨航,2,34:24,是,3-5,0-5,3-4,2,2,1,4,1,1,1,1,4,1/1,9,山东,2016-10-30
张辉,4,34:21,是,1-2,2-5,0-0,0,3,3,1,0,3,0,0,2,0/0,8,山东,2016-10-30
曹振华,11,15:23,是,2-3,0-0,1-2,3,4,0,2,1,1,0,0,1,0/0,5,山东,2016-10-30
睢冉,6,38:23,是,2-5,0-4,0-0,0,4,4,4,1,2,0,0,0,1/1,4,山东,2016-10-30
陶汉林,20,31:28,否,10-15,0-0,3-3,3,7,0,3,0,1,0,2,2,0/0,23,山东,2016-10-30
诺里斯-科尔,30,21:19,否,5-8,0-2,7-8,1,4,10,0,0,1,0,0,6,4/4,17,山东,2016-10-30
李敬宇,8,22:14,否,2-5,2-5,0-0,0,4,1,5,1,1,0,0,0,1/1,10,山东,2016-10-30
李泓翰,7,13:18,否,0-0,2-4,0-0,0,2,0,4,1,0,0,0,0,0/0,6,山东,2016-10-30
文雁行,17,02:15,否,0-0,0-1,2-2,0,0,0,1,0,0,0,0,1,0/0,2,山东,2016-10-30
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,山东,2016-10-30
曹岩,8,39:25,是,6-9,1-4,5-8,1,3,0,3,1,0,0,0,5,2/2,20,八一,2016-10-30
邹雨宸,10,16:25,是,4-9,0-1,3-4,2,6,1,3,0,3,3,0,3,0/0,11,八一,2016-10-30
刘航初,9,27:45,是,2-6,0-3,3-4,0,5,3,1,0,2,0,0,3,1/1,7,八一,2016-10-30
余晨,15,25:59,是,3-8,0-0,1-2,4,7,0,6,1,1,0,0,4,0/0,7,八一,2016-10-30
阿尔斯兰,5,33:41,是,3-6,0-1,1-1,0,0,2,0,0,3,0,0,1,0/0,7,八一,2016-10-30
宁鸿宇,16,12:00,否,3-5,0-0,3-3,1,2,0,0,1,1,0,0,2,0/0,9,八一,2016-10-30
雷蒙,11,22:37,否,1-3,0-3,6-7,1,2,1,2,1,2,0,0,4,0/0,8,八一,2016-10-30
许钟豪,24,26:18,否,2-7,0-1,1-2,2,5,0,4,1,1,1,0,3,0/0,5,八一,2016-10-30
李天戈,6,14:19,否,2-5,0-0,0-0,0,1,2,2,0,0,0,0,0,0/0,4,八一,2016-10-30
德勒黑,22,15:18,否,2-6,0-1,0-0,1,2,1,2,2,0,0,0,2,0/0,4,八一,2016-10-30
张祖铭,20,06:13,否,0-1,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,八一,2016-10-30
未确认,--,--,--,0-0,0-0,0-0,3,3,0,0,0,2,0,0,0,0/0,0,八一,2016-10-30
