player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
贾森-汤普森,1,35:51,是,8-14,0-0,1-1,6,10,1,3,2,2,0,0,6,0/0,17,山东,2016-11-06
丁彦雨航,2,41:31,是,3-11,0-4,8-11,2,1,0,3,2,2,0,0,5,0/0,14,山东,2016-11-06
张辉,4,15:14,是,0-1,1-2,1-2,0,3,2,0,1,3,0,0,1,0/0,4,山东,2016-11-06
睢冉,6,32:27,是,0-3,1-2,0-0,2,3,0,4,4,0,0,0,1,0/0,3,山东,2016-11-06
潘宁,5,10:03,是,0-1,1-2,0-0,1,2,0,0,0,2,1,0,0,0/0,3,山东,2016-11-06
诺里斯-科尔,30,36:09,否,4-12,3-7,6-9,0,5,5,3,0,4,0,0,6,0/0,23,山东,2016-11-06
陶汉林,20,29:46,否,4-11,0-0,7-15,0,3,0,5,0,0,0,2,8,0/0,15,山东,2016-11-06
李敬宇,8,26:49,否,1-2,2-5,2-3,0,5,0,3,1,0,0,0,2,0/0,10,山东,2016-11-06
李泓翰,7,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2016-11-06
刘冠岑,9,08:03,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山东,2016-11-06
杨力,19,04:07,否,0-0,0-0,0-0,1,0,0,0,1,0,0,0,0,0/0,0,山东,2016-11-06
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,0,0,0,0,0/0,0,山东,2016-11-06
翟晓川,20,38:13,是,6-8,2-4,2-2,1,10,1,3,2,0,1,0,2,2/2,20,北京,2016-11-06
马布里,3,35:46,是,3-10,1-4,6-8,0,5,8,3,0,3,0,0,5,0/0,15,北京,2016-11-06
孙悦,9,29:19,是,0-1,2-5,0-0,0,9,3,4,2,2,2,0,0,0/1,6,北京,2016-11-06
吉喆,51,21:13,是,2-4,0-1,1-1,2,4,1,3,0,0,0,0,1,0/0,5,北京,2016-11-06
张松涛,35,08:49,是,0-1,0-0,0-0,0,1,1,0,0,1,0,0,0,0/0,0,北京,2016-11-06
莫里斯,32,31:25,否,13-19,0-0,8-10,2,9,1,5,2,5,1,3,7,2/2,34,北京,2016-11-06
张庆鹏,18,18:36,否,3-4,3-4,5-7,0,2,1,1,0,2,0,0,4,0/0,20,北京,2016-11-06
王骁辉,33,13:12,否,1-1,0-2,0-0,1,0,2,5,1,1,0,0,1,0/0,2,北京,2016-11-06
朱彦西,13,13:59,否,1-1,0-3,0-0,0,2,1,6,0,1,0,0,1,0/0,2,北京,2016-11-06
段江鹏,11,21:19,否,1-3,0-0,0-0,0,0,1,4,1,0,0,0,0,0/0,2,北京,2016-11-06
方硕,8,08:09,否,0-1,0-0,0-0,1,0,1,0,0,0,0,0,0,0/0,0,北京,2016-11-06
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,2,0,0,0,0/0,0,北京,2016-11-06
