player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
丁彦雨航,8,31,是,4-7,4-8,6-6,0,5,6,1,2,4,0,0,5,0/0,26,山东,2017-12-28
莫泰尤纳斯,12,34,是,11-13,0-1,3-4,3,11,5,4,2,1,1,0,4,0/0,25,山东,2017-12-28
王汝恒,24,28,是,2-2,1-5,0-0,0,1,4,4,1,1,0,0,1,0/0,7,山东,2017-12-28
张庆鹏,9,25,是,1-1,1-6,0-0,0,2,3,1,0,1,0,0,0,0/0,5,山东,2017-12-28
吴轲,15,7,是,0-1,0-0,0-0,0,6,0,0,0,1,0,0,0,0/0,0,山东,2017-12-28
泰-劳森,3,31,否,3-4,5-10,4-5,0,3,9,4,0,2,0,0,7,0/0,25,山东,2017-12-28
贾诚,32,22,否,5-8,1-2,0-0,3,3,0,2,1,0,1,0,0,0/0,13,山东,2017-12-28
张春军,27,21,否,1-2,3-3,1-2,0,3,2,1,2,0,0,0,1,0/0,12,山东,2017-12-28
朱荣振,35,6,否,2-3,0-0,4-5,1,1,0,0,0,0,1,1,3,0/0,8,山东,2017-12-28
李泓翰,7,6,否,1-1,0-1,0-0,0,1,0,0,1,0,0,0,0,0/0,2,山东,2017-12-28
陶汉林,20,18,否,0-2,0-0,2-2,2,2,1,3,0,2,0,0,1,0/0,2,山东,2017-12-28
潘宁,5,6,否,1-2,0-2,0-0,1,3,0,3,1,1,0,0,0,0/0,2,山东,2017-12-28
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-28
睢冉,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-28
张辉,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-28
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-28
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-28
许梦君,9,31,是,1-3,3-10,0-0,2,2,2,3,1,4,0,0,1,0/0,11,北控,2017-12-28
阿巴斯,15,27,是,4-8,0-2,2-2,3,4,1,4,3,4,0,0,5,0/0,10,北控,2017-12-28
王征,28,24,是,3-8,0-0,3-3,3,4,0,2,0,1,1,0,2,0/0,9,北控,2017-12-28
杨敬敏,6,27,是,1-4,1-3,4-4,0,1,1,2,0,1,0,0,2,0/0,9,北控,2017-12-28
马布里,3,31,是,4-5,0-4,0-0,0,1,8,2,1,0,0,0,2,0/0,8,北控,2017-12-28
兰多夫,42,34,否,4-14,6-8,6-8,3,11,2,1,2,2,0,0,6,0/0,32,北控,2017-12-28
于梁,11,6,否,1-1,0-2,2-2,2,4,0,0,1,1,0,0,1,0/0,4,北控,2017-12-28
李雪松,7,9,否,1-3,0-2,1-2,0,0,2,0,0,0,0,0,1,0/0,3,北控,2017-12-28
贺希宁,0,19,否,0-1,0-0,2-4,0,0,4,3,0,0,0,0,2,0/0,2,北控,2017-12-28
于澍龙,5,16,否,1-2,0-1,0-0,0,1,2,1,0,1,0,0,0,0/0,2,北控,2017-12-28
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-28
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-28
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-28
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-28
杨庚霖,10,6,否,0-2,0-1,0-0,0,2,0,3,0,1,1,0,1,0/0,0,北控,2017-12-28
滕贺麒,8,4,否,0-0,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,北控,2017-12-28
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-28
宋康明,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-28
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-28
