player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
莫泰尤纳斯,12,31,是,12-13,2-3,1-2,3,11,7,2,2,1,0,2,2,0/0,31,山东,2018-02-03
贾诚,32,18,是,4-5,2-5,2-2,3,1,1,2,0,0,0,1,2,0/0,16,山东,2018-02-03
丁彦雨航,2,30,是,5-9,1-4,2-2,0,2,5,0,1,1,0,0,1,0/0,15,山东,2018-02-03
睢冉,1,29,是,3-5,0-2,0-2,1,3,2,2,4,2,0,0,2,0/0,6,山东,2018-02-03
王汝恒,24,17,是,0-0,1-1,1-2,0,2,1,1,1,1,1,0,2,0/0,4,山东,2018-02-03
陶汉林,20,19,否,7-11,0-0,6-6,4,1,0,2,0,1,2,4,4,0/0,20,山东,2018-02-03
泰-劳森,3,31,否,5-9,2-3,3-4,0,2,11,2,1,3,0,0,3,0/0,19,山东,2018-02-03
张庆鹏,9,12,否,1-2,2-3,0-0,0,1,1,2,0,0,0,0,0,0/0,8,山东,2018-02-03
吴轲,15,17,否,2-7,0-1,1-2,0,4,2,3,1,1,0,0,1,0/0,5,山东,2018-02-03
张春军,27,12,否,1-1,1-1,0-0,0,4,0,3,0,0,0,0,0,0/0,5,山东,2018-02-03
潘宁,5,9,否,1-2,0-0,0-0,0,1,0,1,1,1,0,0,0,0/0,2,山东,2018-02-03
张辉,4,10,否,0-1,0-0,1-2,0,3,1,1,0,0,0,0,1,0/0,1,山东,2018-02-03
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-02-03
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-02-03
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-02-03
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-02-03
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-02-03
J.J-希克森,44,39,是,14-27,0-1,13-17,9,11,3,2,3,3,1,2,11,0/0,41,同曦,2018-02-03
乔文瀚,7,32,是,1-6,1-3,7-8,3,2,4,1,1,4,0,0,4,0/0,12,同曦,2018-02-03
冯欣,66,19,是,2-4,0-0,1-2,0,0,4,0,1,3,0,0,1,0/0,5,同曦,2018-02-03
买尔丹,33,16,是,2-4,0-0,0-0,1,0,0,2,0,1,0,0,0,0/0,4,同曦,2018-02-03
巴赫拉米,14,5,是,0-1,0-1,2-2,1,1,0,1,0,0,0,0,1,0/0,2,同曦,2018-02-03
周仪翔,6,28,否,2-3,2-6,1-1,0,1,0,2,0,3,0,0,1,0/0,11,同曦,2018-02-03
杨力,19,24,否,5-6,0-1,0-0,0,1,5,2,2,0,0,0,0,0/0,10,同曦,2018-02-03
郭一飞,10,33,否,1-2,1-7,1-1,2,4,0,5,2,0,0,0,2,0/0,6,同曦,2018-02-03
王睿,25,5,否,1-1,1-3,0-0,1,3,0,1,0,0,0,0,0,0/0,5,同曦,2018-02-03
于长春,16,9,否,1-1,1-3,0-0,0,0,1,1,0,1,0,0,1,0/0,5,同曦,2018-02-03
宋建骅,8,16,否,1-3,0-3,0-0,2,0,1,0,0,0,0,0,0,0/0,2,同曦,2018-02-03
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-02-03
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-02-03
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-02-03
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-02-03
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-02-03
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-02-03
冷振铎,12,6,否,0-1,0-0,0-0,0,1,0,1,0,1,0,0,0,0/0,0,同曦,2018-02-03
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-02-03
唐正东,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-02-03
杰里米-帕戈,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-02-03
