player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
丁彦雨航,2,43:27,是,4-7,7-11,14-16,2,3,4,3,1,5,0,0,17,1/1,43,山东,2017-01-22
贾森-汤普森,1,40:58,是,8-12,0-1,3-6,5,12,2,4,0,1,1,2,4,1/2,19,山东,2017-01-22
睢冉,6,37:54,是,0-4,1-2,0-0,1,1,1,3,4,1,1,0,1,0/0,3,山东,2017-01-22
张辉,4,19:49,是,0-1,1-4,0-0,0,2,1,3,0,0,1,0,0,0/0,3,山东,2017-01-22
贾诚,32,05:31,是,0-1,0-2,0-0,0,1,1,0,0,2,0,0,0,0/0,0,山东,2017-01-22
邓特蒙,55,31:02,否,1-5,3-6,3-7,1,2,1,2,1,1,0,0,6,0/0,14,山东,2017-01-22
吴轲,15,20:50,否,3-4,1-5,1-2,0,4,1,3,1,2,0,0,1,0/0,10,山东,2017-01-22
陶汉林,20,22:14,否,2-2,0-0,0-0,3,1,3,5,0,1,1,0,0,0/0,4,山东,2017-01-22
李敬宇,8,17:17,否,0-0,1-4,0-0,0,0,0,1,0,0,0,0,0,1/1,3,山东,2017-01-22
杨力,19,00:58,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-01-22
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,0,0,0,0,0/0,0,山东,2017-01-22
周鹏,11,42:36,是,6-8,4-7,1-1,0,4,0,6,4,0,0,0,4,3/3,25,广东,2017-01-22
唐纳德-斯隆,23,43:33,是,6-14,3-7,3-4,3,5,6,1,1,4,0,0,5,1/2,24,广东,2017-01-22
易建联,9,42:38,是,4-13,1-5,8-8,1,7,1,3,1,2,4,0,4,1/1,19,广东,2017-01-22
赵睿,0,22:33,是,1-2,1-2,0-1,1,3,1,5,2,0,0,0,4,1/1,5,广东,2017-01-22
任骏飞,20,17:07,是,2-4,0-0,0-0,4,1,3,6,0,1,0,0,1,0/0,4,广东,2017-01-22
布泽尔,5,25:47,否,5-9,0-1,4-7,1,6,1,3,1,4,0,0,4,2/2,14,广东,2017-01-22
陈江华,6,12:58,否,2-3,0-0,0-0,0,0,2,2,0,1,0,0,1,0/0,4,广东,2017-01-22
高尚,3,07:17,否,1-1,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,2,广东,2017-01-22
董瀚麟,16,09:00,否,0-1,0-0,1-2,2,1,0,0,0,0,0,0,1,0/0,1,广东,2017-01-22
周湛东,13,15:01,否,0-0,0-1,0-0,0,0,1,3,0,0,0,0,0,0/0,0,广东,2017-01-22
杨金蒙,17,01:30,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-01-22
赵天熠,26,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-01-22
未确认,--,--,--,0-0,0-0,0-0,3,2,0,0,0,1,0,0,0,0/0,0,广东,2017-01-22
