player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
丁彦雨航,2,31,是,4-6,5-11,4-4,0,1,3,0,1,0,0,0,3,0/0,27,山东,2018-04-06
莫泰尤纳斯,12,32,是,10-16,2-4,0-0,1,12,4,5,4,2,2,1,10,0/0,26,山东,2018-04-06
贾诚,32,26,是,1-3,1-3,1-2,1,4,2,4,0,2,0,1,1,0/0,6,山东,2018-04-06
张春军,27,27,是,2-4,0-1,0-0,2,1,4,1,1,2,0,0,1,0/0,4,山东,2018-04-06
王汝恒,24,27,是,1-1,0-2,0-0,0,1,3,4,2,1,0,0,1,0/0,2,山东,2018-04-06
泰-劳森,3,37,否,6-9,3-7,10-10,2,2,4,3,1,0,0,0,6,0/0,31,山东,2018-04-06
吴轲,15,25,否,2-4,1-1,2-4,0,4,1,5,0,2,0,0,4,0/0,9,山东,2018-04-06
张辉,4,18,否,2-4,1-2,0-0,1,1,0,3,0,1,0,0,0,0/0,7,山东,2018-04-06
陶汉林,20,10,否,0-3,0-0,1-2,2,3,0,2,0,0,0,0,1,0/0,1,山东,2018-04-06
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-04-06
睢冉,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-04-06
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,山东,2018-04-06
张庆鹏,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-04-06
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-04-06
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-04-06
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-04-06
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-04-06
苏若禹,5,20,是,5-5,0-0,5-6,3,2,0,3,0,5,0,0,5,0/0,15,广厦,2018-04-06
胡金秋,21,34,是,5-10,0-0,5-5,3,4,1,3,1,3,0,1,7,0/0,15,广厦,2018-04-06
福特森,4,32,是,3-6,1-6,2-2,0,3,3,4,1,4,0,0,4,0/0,11,广厦,2018-04-06
林志杰,27,43,是,3-3,1-6,0-0,0,5,3,2,1,2,0,0,1,0/0,9,广厦,2018-04-06
刘铮,11,15,是,1-2,0-0,0-0,0,3,0,2,1,0,1,0,0,0/0,2,广厦,2018-04-06
博洛西斯,29,38,否,6-10,2-9,11-13,2,13,3,5,2,2,0,0,8,0/0,29,广厦,2018-04-06
孙铭徽,17,20,否,3-4,2-4,1-2,2,1,1,5,0,1,0,0,1,0/0,13,广厦,2018-04-06
赵岩昊,25,27,否,2-6,1-4,2-2,2,0,0,2,1,1,0,0,1,0/0,9,广厦,2018-04-06
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-04-06
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-04-06
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-04-06
李京龙,9,4,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-04-06
鞠鹏,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-04-06
赵天熠,15,2,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,广厦,2018-04-06
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-04-06
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-04-06
