player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
丁彦雨航,2,37:40,是,11-14,5-11,6-7,1,7,2,3,0,4,0,0,9,3/3,43,山东,2017-02-24
贾森-汤普森,1,34:32,是,7-11,0-1,3-4,7,9,2,1,2,1,1,2,4,2/2,17,山东,2017-02-24
吴轲,15,23:12,是,3-4,0-3,0-0,0,2,2,5,1,1,0,1,0,1/1,6,山东,2017-02-24
张辉,4,19:17,是,0-1,1-3,0-0,0,3,4,3,1,0,1,0,1,0/0,3,山东,2017-02-24
刘冠岑,9,23:31,是,0-2,0-2,0-0,2,3,3,4,1,0,0,0,0,0/0,0,山东,2017-02-24
AJ-普莱斯,12,34:02,否,3-9,2-10,3-3,0,4,1,0,3,1,0,0,3,0/1,15,山东,2017-02-24
陶汉林,20,25:25,否,4-8,0-0,0-0,3,5,0,4,1,5,0,1,1,0/0,8,山东,2017-02-24
李敬宇,8,21:10,否,1-3,0-1,0-0,0,1,0,1,0,1,0,0,0,1/1,2,山东,2017-02-24
贾诚,32,12:51,否,0-2,0-0,1-2,1,2,0,2,0,0,0,0,1,0/0,1,山东,2017-02-24
潘宁,5,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-02-24
杨力,19,05:36,否,0-0,0-1,0-0,0,0,1,1,0,1,0,0,0,0/0,0,山东,2017-02-24
李泓翰,7,02:44,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山东,2017-02-24
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,山东,2017-02-24
亚当斯,4,35:43,是,5-9,3-11,3-4,1,5,4,3,2,3,0,0,11,3/4,22,新疆,2017-02-24
周琦,9,34:58,是,6-16,0-0,1-4,5,5,0,3,1,4,5,1,3,0/0,13,新疆,2017-02-24
俞长栋,7,12:19,是,0-0,2-3,0-0,1,3,0,2,1,1,0,0,1,0/0,6,新疆,2017-02-24
可兰白克,13,30:55,是,1-3,0-3,2-2,2,3,1,2,2,2,0,0,2,1/2,4,新疆,2017-02-24
西热力江,20,32:29,是,0-0,1-7,0-0,1,1,3,2,1,0,0,0,0,0/0,3,新疆,2017-02-24
布莱切,0,33:18,否,6-11,0-4,5-8,3,10,2,1,1,1,1,0,5,0/0,17,新疆,2017-02-24
阿不都沙拉木,14,14:47,否,2-3,0-1,4-4,1,2,0,1,0,2,0,0,2,1/1,8,新疆,2017-02-24
罗旭东,6,30:06,否,0-3,1-3,0-0,1,2,1,3,0,1,0,0,0,0/0,3,新疆,2017-02-24
孙桐林,55,15:25,否,1-1,0-0,0-0,1,0,1,3,1,0,0,0,1,0/0,2,新疆,2017-02-24
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,新疆,2017-02-24
