player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
贾森-汤普森,1,42:52,是,9-17,0-1,6-8,5,15,5,4,1,4,1,1,10,1/1,24,山东,2016-11-20
丁彦雨航,2,38:20,是,4-7,3-8,6-8,1,4,1,3,4,5,0,1,10,0/0,23,山东,2016-11-20
睢冉,6,40:02,是,5-7,0-2,1-2,1,1,7,3,2,0,0,0,1,0/0,11,山东,2016-11-20
张辉,4,16:45,是,0-2,1-2,0-0,0,2,0,3,0,0,0,0,0,0/0,3,山东,2016-11-20
潘宁,5,17:36,是,0-1,0-3,0-0,1,3,2,1,1,1,1,0,0,0/0,0,山东,2016-11-20
陶汉林,20,30:44,否,13-17,0-0,1-2,3,5,1,3,1,3,1,5,2,1/1,27,山东,2016-11-20
杨力,19,31:15,否,2-4,1-5,2-3,4,3,3,1,3,2,0,0,2,2/2,9,山东,2016-11-20
李敬宇,8,13:23,否,1-2,1-5,1-3,0,1,0,1,1,0,0,0,1,0/0,6,山东,2016-11-20
曹振华,11,01:05,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2016-11-20
刘冠岑,9,07:58,否,0-1,0-0,0-0,0,0,0,3,0,1,0,0,1,0/0,0,山东,2016-11-20
布鲁克斯,2,40:08,是,6-10,3-9,4-5,1,10,5,4,0,5,1,0,6,1/1,25,江苏,2016-11-20
易立,8,40:04,是,4-8,1-6,1-1,0,6,4,2,1,3,0,0,2,1/1,12,江苏,2016-11-20
常林,45,14:40,是,2-3,2-3,0-0,0,1,0,0,1,0,0,0,0,0/0,10,江苏,2016-11-20
常亚松,5,16:05,是,1-2,1-2,0-0,0,1,0,5,3,2,0,0,3,0/0,5,江苏,2016-11-20
李原宇,16,24:20,是,0-2,0-0,0-0,2,4,0,4,0,1,0,0,0,0/0,0,江苏,2016-11-20
萨缪尔斯,24,30:29,否,7-13,0-1,5-7,4,5,1,4,1,1,1,2,8,0/0,19,江苏,2016-11-20
陈磊,22,31:35,否,2-3,1-2,2-2,0,3,1,3,2,3,0,0,2,0/0,9,江苏,2016-11-20
曹飞,23,28:51,否,3-8,0-3,0-0,1,3,2,4,1,3,0,0,0,0/0,6,江苏,2016-11-20
刘亚晖,9,13:48,否,1-2,0-0,0-0,0,0,0,1,1,3,0,0,1,0/0,2,江苏,2016-11-20
未确认,--,--,--,0-0,0-0,0-0,2,0,0,0,0,0,0,0,0,0/0,0,江苏,2016-11-20
