player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
莫泰尤纳斯,12,31,是,11-15,0-1,1-4,4,8,2,3,2,1,1,0,6,0/0,23,山东,2017-11-07
丁彦雨航,8,42,是,4-12,2-6,8-8,3,11,3,2,0,4,0,0,8,0/0,22,山东,2017-11-07
吴轲,15,19,是,2-7,1-4,0-0,2,5,0,2,1,2,0,0,0,0/0,7,山东,2017-11-07
睢冉,1,20,是,2-3,0-2,0-0,2,0,0,1,2,0,0,0,0,0/0,4,山东,2017-11-07
王汝恒,24,7,是,0-0,0-0,0-0,0,1,0,0,0,1,0,0,0,0/0,0,山东,2017-11-07
泰-劳森,3,40,否,8-11,1-4,5-7,1,4,4,2,2,3,0,0,7,0/0,24,山东,2017-11-07
陶汉林,20,34,否,6-14,0-0,1-1,4,3,2,2,1,3,0,1,1,0/0,13,山东,2017-11-07
张庆鹏,9,16,否,1-2,0-2,0-0,1,1,1,1,0,0,0,0,0,0/0,2,山东,2017-11-07
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-07
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-07
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-07
贾诚,32,10,否,0-0,0-0,0-0,0,1,0,0,1,0,0,0,1,0/0,0,山东,2017-11-07
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-07
张春军,27,16,否,0-0,0-1,0-0,0,2,0,2,1,2,0,0,0,0/0,0,山东,2017-11-07
张辉,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-07
威姆斯,13,36,是,8-18,3-6,0-0,1,6,8,2,5,4,1,1,2,0/0,25,浙江,2017-11-07
张大宇,24,32,是,5-13,0-0,5-6,2,6,0,5,3,2,0,1,4,0/0,15,浙江,2017-11-07
江凯,93,27,是,2-3,2-4,0-2,1,3,1,4,0,0,0,0,2,0/0,10,浙江,2017-11-07
惠龙儿,18,30,是,3-7,0-0,2-2,3,5,1,2,2,0,1,0,1,0/0,8,浙江,2017-11-07
吴前,33,36,是,0-5,2-9,0-0,1,2,6,2,0,4,0,0,1,0/0,6,浙江,2017-11-07
程帅澎,6,22,否,3-4,1-1,0-0,0,0,3,3,1,1,0,0,0,0/0,9,浙江,2017-11-07
陆文博,8,10,否,1-2,1-1,0-0,0,0,0,2,2,0,0,0,2,0/0,5,浙江,2017-11-07
付磊,3,5,否,0-0,1-1,0-2,0,0,1,0,0,0,0,0,1,0/0,3,浙江,2017-11-07
赖俊豪,17,11,否,1-1,0-1,1-2,0,3,0,1,0,1,0,0,2,0/0,3,浙江,2017-11-07
王奕博,7,5,否,0-0,1-1,0-0,0,0,0,1,0,0,0,0,0,0/0,3,浙江,2017-11-07
张永鹏,76,20,否,1-5,0-0,0-0,3,5,0,1,0,1,0,0,0,0/0,2,浙江,2017-11-07
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-07
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-07
李宗翰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-07
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-07
张家丰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-07
斯托克斯,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-07
刘泽一,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-07
