player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
丁彦雨航,8,42,是,13-16,3-11,10-11,2,4,4,2,2,4,0,0,7,0/0,45,山东,2017-11-05
莫泰尤纳斯,12,44,是,8-14,2-5,5-7,1,12,0,2,1,4,1,0,7,0/0,27,山东,2017-11-05
吴轲,15,27,是,5-7,0-5,1-2,2,4,2,5,0,1,1,1,1,0/0,11,山东,2017-11-05
王汝恒,24,34,是,0-3,2-5,0-0,0,2,2,1,2,3,1,0,2,0/0,6,山东,2017-11-05
睢冉,1,28,是,1-3,0-0,0-0,4,1,7,3,1,1,0,0,2,0/0,2,山东,2017-11-05
张庆鹏,9,17,否,1-2,3-4,2-2,0,0,1,3,0,1,0,0,1,0/0,13,山东,2017-11-05
陶汉林,20,16,否,3-5,0-0,1-1,3,0,0,2,0,0,0,0,2,0/0,7,山东,2017-11-05
张春军,27,9,否,0-0,0-1,0-0,2,0,0,1,1,0,0,0,3,0/0,0,山东,2017-11-05
张辉,4,13,否,0-2,0-0,0-0,3,2,2,1,0,0,0,0,0,0/0,0,山东,2017-11-05
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-05
贾诚,32,5,否,0-0,0-1,0-0,0,1,0,2,0,1,0,0,0,0/0,0,山东,2017-11-05
泰-劳森,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-05
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-05
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-05
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-05
王哲林,31,44,是,7-13,0-0,6-8,5,7,1,2,2,1,0,3,6,0/0,20,福建,2017-11-05
哈里斯,33,32,是,4-5,1-6,4-5,3,6,2,2,2,2,0,0,3,0/0,15,福建,2017-11-05
赵泰隆,73,32,是,1-3,3-5,0-0,1,2,2,6,1,0,0,0,0,0/0,11,福建,2017-11-05
周启新,1,11,是,1-2,0-1,0-0,0,1,0,2,0,1,0,0,0,0/0,2,福建,2017-11-05
谢亚财,30,21,是,1-4,0-0,0-0,0,3,2,2,3,0,0,0,1,0/0,2,福建,2017-11-05
史密斯,2,39,否,12-23,3-9,8-11,3,2,4,3,0,2,0,0,10,0/0,41,福建,2017-11-05
黄毅超,14,15,否,0-0,2-3,0-0,0,1,0,0,2,1,0,0,0,0/0,6,福建,2017-11-05
陈林坚,15,18,否,0-1,1-5,0-0,1,1,1,1,1,1,0,0,0,0/0,3,福建,2017-11-05
李江淮,5,6,否,1-1,0-0,0-0,0,0,1,2,1,1,0,0,0,0/0,2,福建,2017-11-05
何重达,11,5,否,1-2,0-0,0-0,1,0,0,4,0,1,0,0,0,0/0,2,福建,2017-11-05
郭磊,18,9,否,0-0,0-0,0-0,0,1,1,0,0,0,0,0,1,0/0,0,福建,2017-11-05
田桂森,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-05
杨凯,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-05
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-05
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-05
蔡晨,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-05
孙喆,17,3,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,1,0/0,0,福建,2017-11-05
王增杰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-05
