player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
丁彦雨航,2,29:29,是,5-13,1-5,16-17,4,8,5,3,1,5,0,0,12,1/2,29,山东,2016-12-04
贾森-汤普森,1,29:11,是,9-17,0-1,1-2,3,10,5,5,1,4,0,3,4,2/2,19,山东,2016-12-04
潘宁,5,20:15,是,1-1,1-3,0-0,1,1,0,0,0,0,0,0,2,0/0,5,山东,2016-12-04
张辉,4,17:29,是,1-3,1-2,0-0,0,0,1,2,1,6,0,0,1,0/0,5,山东,2016-12-04
睢冉,6,22:11,是,1-2,0-2,0-0,0,3,4,4,7,4,0,0,0,0/0,2,山东,2016-12-04
吴轲,15,17:58,否,2-3,3-4,1-2,2,2,1,1,1,2,0,0,2,0/0,14,山东,2016-12-04
李敬宇,8,20:17,否,1-4,3-4,0-0,1,0,0,2,0,3,0,0,0,0/0,11,山东,2016-12-04
杨力,19,23:32,否,3-5,0-0,0-0,2,1,1,2,6,1,0,0,1,0/0,6,山东,2016-12-04
曹振华,11,01:24,否,1-1,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,2,山东,2016-12-04
刘冠岑,9,13:49,否,1-1,0-0,0-0,0,0,1,1,2,0,0,0,0,0/0,2,山东,2016-12-04
李泓翰,7,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,山东,2016-12-04
哈德森,14,30:35,是,3-4,7-17,1-1,2,7,3,5,5,3,0,0,7,2/2,28,辽宁,2016-12-04
韩德君,55,26:59,是,7-10,0-0,3-6,5,9,1,5,2,3,1,1,5,0/0,17,辽宁,2016-12-04
廉明,21,33:41,是,4-10,2-3,0-1,4,0,1,3,0,1,1,0,1,1/1,14,辽宁,2016-12-04
郭艾伦,13,22:34,是,4-8,0-3,2-2,1,0,5,4,1,8,0,0,2,2/2,10,辽宁,2016-12-04
刘志轩,11,19:41,是,0-0,1-6,0-0,1,2,1,1,0,2,0,0,1,0/0,3,辽宁,2016-12-04
赵继伟,3,15:46,否,2-2,2-5,2-2,1,3,6,2,5,1,0,0,2,1/1,12,辽宁,2016-12-04
杨鸣,12,11:05,否,2-3,0-0,0-0,0,0,0,1,0,2,0,0,1,1/1,4,辽宁,2016-12-04
丛明晨,10,18:22,否,0-1,1-4,0-0,0,1,0,0,2,2,0,0,1,0/0,3,辽宁,2016-12-04
卫猛,23,14:04,否,1-2,0-0,0-0,2,3,0,1,0,0,1,0,1,0/0,2,辽宁,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,1,0,0,0,0/0,0,辽宁,2016-12-04
