player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
丁彦雨航,8,40,是,6-13,1-4,7-10,3,9,6,3,2,3,0,2,7,0/0,22,山东,2017-12-20
莫泰尤纳斯,12,38,是,7-17,1-2,2-6,3,12,4,3,2,3,0,0,8,0/0,19,山东,2017-12-20
吴轲,15,23,是,2-3,3-5,1-1,0,2,2,3,0,1,1,0,1,0/0,14,山东,2017-12-20
张辉,4,21,是,1-1,3-5,0-0,1,0,1,4,1,0,0,0,0,0/0,11,山东,2017-12-20
张庆鹏,9,8,是,0-0,0-1,0-0,0,0,1,0,1,0,0,0,0,0/0,0,山东,2017-12-20
泰-劳森,3,33,否,7-10,1-5,3-3,0,3,4,2,3,4,0,0,5,0/0,20,山东,2017-12-20
王汝恒,24,21,否,0-1,3-5,0-0,0,0,1,2,0,0,0,0,0,0/0,9,山东,2017-12-20
张春军,27,20,否,1-3,2-3,0-0,1,1,1,4,1,0,1,0,0,0/0,8,山东,2017-12-20
陶汉林,20,21,否,1-4,0-0,2-2,1,2,0,1,1,2,0,0,1,0/0,4,山东,2017-12-20
贾诚,32,11,否,2-3,0-0,0-0,2,2,1,3,0,1,0,0,0,0/0,4,山东,2017-12-20
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-20
睢冉,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-20
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-20
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-20
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-20
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-20
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-20
吉布森,22,48,是,5-11,12-21,14-18,2,6,8,1,1,6,0,0,17,0/0,60,青岛,2017-12-20
苏伟,9,47,是,6-9,0-0,2-4,2,10,3,3,0,2,0,0,3,0/0,14,青岛,2017-12-20
张骋宇,6,21,是,0-4,2-4,0-0,0,0,2,3,0,1,0,0,0,0/0,6,青岛,2017-12-20
宗赞,13,22,是,1-2,1-3,0-0,2,4,0,2,1,1,1,0,0,0/0,5,青岛,2017-12-20
刘书楠,7,21,是,0-1,0-0,0-0,1,2,2,3,2,0,0,0,0,0/0,0,青岛,2017-12-20
许家晗,3,17,否,2-3,1-3,1-1,1,1,1,4,0,1,0,0,2,0/0,8,青岛,2017-12-20
孙杰,17,11,否,1-2,2-4,0-0,0,1,0,0,2,1,0,0,1,0/0,8,青岛,2017-12-20
王庆明,32,20,否,4-6,0-0,0-0,1,7,0,3,0,0,0,0,0,0/0,8,青岛,2017-12-20
高尚,0,23,否,2-5,0-3,2-2,3,1,2,2,0,0,0,0,2,0/0,6,青岛,2017-12-20
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-20
刘鸿博,91,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-20
张昊,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-20
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-20
赵捷,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-20
丁皓然,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-20
田嘉夫,14,4,否,0-0,0-0,0-0,0,0,0,1,0,2,0,0,0,0/0,0,青岛,2017-12-20
马齐-兰佩,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-20
单梓桐,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-20
