player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
富兰克林,11,40:00,是,5-8,5-17,6-6,1,5,3,3,5,2,4,2,7,2/3,31,山西,2017-01-15
王磊,8,35:21,是,5-8,0-0,1-3,3,7,2,1,0,2,0,0,2,0/0,11,山西,2017-01-15
闫鹏飞,9,34:06,是,4-8,0-0,0-2,3,1,0,3,0,2,1,1,1,0/0,8,山西,2017-01-15
原帅,7,22:43,是,1-2,0-2,0-0,1,0,0,2,0,0,0,0,1,0/0,2,山西,2017-01-15
侯兴宇,5,07:26,是,0-0,0-0,2-2,0,0,1,0,1,1,1,0,1,0/0,2,山西,2017-01-15
亨利-西姆斯,36,32:00,否,8-13,1-1,4-6,2,6,1,2,1,2,3,2,4,1/1,23,山西,2017-01-15
张学文,33,12:39,否,1-2,0-1,4-4,0,2,0,3,0,1,0,0,2,1/3,6,山西,2017-01-15
邢志强,12,14:58,否,2-3,0-3,1-2,3,3,0,3,1,1,0,1,2,0/0,5,山西,2017-01-15
曾令旭,6,22:43,否,2-6,0-1,0-1,0,1,3,2,1,1,0,0,2,0/0,4,山西,2017-01-15
任骏威,21,07:57,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,1,0/0,0,山西,2017-01-15
田桂森,3,10:07,否,0-0,0-0,0-0,0,1,1,1,0,0,0,0,0,0/1,0,山西,2017-01-15
未确认,--,--,--,0-0,0-0,0-0,2,2,0,0,0,1,0,0,0,0/0,0,山西,2017-01-15
亚布塞莱,16,47:07,是,9-14,3-7,6-8,5,11,6,3,1,4,0,2,6,0/0,33,上海,2017-01-15
卢伟,12,39:45,是,2-4,5-12,0-0,0,2,1,1,1,0,0,0,1,0/1,19,上海,2017-01-15
吴冠希,11,25:30,是,5-5,0-0,2-2,4,5,0,5,1,0,2,1,1,0/0,12,上海,2017-01-15
刘晓宇,10,45:03,是,3-10,0-7,3-4,0,7,9,2,1,4,0,0,7,0/1,9,上海,2017-01-15
翟逸,22,34:24,是,4-4,0-0,1-4,1,0,2,4,2,1,3,4,2,4/5,9,上海,2017-01-15
蔡亮,1,19:22,否,0-3,1-1,2-2,0,2,0,2,0,1,0,0,2,0/0,5,上海,2017-01-15
葛暘,24,09:27,否,0-1,1-1,1-2,0,1,0,1,0,1,0,0,1,0/0,4,上海,2017-01-15
张兆旭,23,14:55,否,2-3,0-0,0-0,0,2,1,5,0,0,0,1,1,0/0,4,上海,2017-01-15
曾文鼎,76,04:00,否,1-1,0-1,0-0,0,0,0,0,0,0,0,1,0,0/0,2,上海,2017-01-15
鞠鹏,9,00:27,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-01-15
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,上海,2017-01-15
