player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
路易斯-斯科拉,4,31,是,7-13,0-1,4-9,4,8,0,2,0,2,0,0,8,0/0,18,山西,2018-02-04
曾令旭,6,26,是,4-6,0-3,6-7,1,3,9,3,1,4,0,0,4,0/0,14,山西,2018-02-04
邢志强,12,16,是,4-5,0-1,1-2,1,7,0,4,0,0,1,1,1,0/0,9,山西,2018-02-04
任骏威,26,28,是,4-6,0-2,1-2,3,5,3,1,0,4,1,1,1,0/0,9,山西,2018-02-04
原帅,7,30,是,1-1,1-4,0-0,1,8,0,0,0,3,0,0,1,0/0,5,山西,2018-02-04
王洪,13,26,否,4-7,2-3,0-2,1,4,5,1,3,2,1,0,1,0/0,14,山西,2018-02-04
李敬宇,11,28,否,2-3,3-7,0-0,0,7,1,1,0,1,0,0,1,0/0,13,山西,2018-02-04
闫鹏飞,9,26,否,6-16,0-1,1-2,6,3,1,3,0,1,1,2,2,0/0,13,山西,2018-02-04
刘冠岑,17,16,否,1-1,0-1,3-5,0,0,0,0,2,2,1,0,3,0/0,5,山西,2018-02-04
班铎,4,2,否,0-1,1-1,0-0,0,1,0,0,0,0,0,0,1,0/0,3,山西,2018-02-04
张学文,33,7,否,1-2,0-1,1-3,1,2,1,0,0,1,0,0,2,0/0,3,山西,2018-02-04
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-04
王磊,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-04
李旭,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-04
王重阳,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-04
沙威剑,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-04
侯兴宇,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-04
威利-沃伦,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-04
付豪,1,37,是,11-21,0-0,0-1,1,9,2,5,0,1,0,0,1,0/0,22,八一,2018-02-04
张祖铭,20,25,是,1-6,2-6,0-4,4,3,1,1,0,1,2,0,2,0/0,8,八一,2018-02-04
刘航初,9,25,是,1-7,0-2,4-4,3,3,2,3,1,2,0,0,3,0/0,6,八一,2018-02-04
田宇翔,7,11,是,1-4,0-0,0-0,0,1,2,3,1,0,0,0,0,0/0,2,八一,2018-02-04
曹岩,8,21,是,0-1,0-4,0-0,0,1,0,4,2,1,0,0,1,0/0,0,八一,2018-02-04
阿尔斯兰,5,31,否,3-8,2-5,1-1,1,2,3,5,1,2,0,0,5,0/0,13,八一,2018-02-04
德勒黑,22,17,否,2-3,3-5,0-0,1,2,2,1,3,0,0,0,1,0/0,13,八一,2018-02-04
李天戈,6,28,否,2-5,2-4,0-0,1,2,4,1,1,0,0,0,0,0/0,10,八一,2018-02-04
罗凯文,13,28,否,2-3,1-6,2-2,0,4,1,1,3,5,1,1,1,0/0,9,八一,2018-02-04
宁鸿宇,16,12,否,1-5,0-0,2-2,0,1,0,1,1,0,0,0,1,0/0,4,八一,2018-02-04
许钟豪,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-04
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-04
雷蒙,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-04
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-04
余晨,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-04
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-04
