player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
鲍比-布朗,6,41,是,6-8,2-6,7-7,0,2,9,1,2,4,0,0,8,0/0,25,山西,2018-12-20
任骏威,10,38,是,7-9,0-1,2-2,3,3,3,2,1,0,0,0,1,0/0,16,山西,2018-12-20
葛昭宝,21,28,是,4-5,0-1,2-2,0,5,3,3,0,3,0,0,2,0/0,10,山西,2018-12-20
李敬宇,11,30,是,0-2,2-5,0-0,0,1,3,3,1,1,0,0,1,0/0,6,山西,2018-12-20
滕贺麒,8,8,是,1-1,0-0,0-0,1,1,1,1,0,0,0,0,0,0/0,2,山西,2018-12-20
穆罕默德,15,30,否,6-13,2-7,5-6,3,10,5,0,1,1,1,2,8,0/0,23,山西,2018-12-20
闫鹏飞,9,28,否,9-14,1-1,0-1,3,5,1,4,0,0,2,1,1,0/0,21,山西,2018-12-20
原帅,7,26,否,0-0,2-7,0-0,0,0,0,4,0,0,0,0,0,0/0,6,山西,2018-12-20
王洪,13,6,否,1-2,0-0,0-0,0,0,2,1,0,0,0,0,0,0/0,2,山西,2018-12-20
孙伟博,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-20
任鹏鹏,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-20
刘冠岑,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-20
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-20
邢志强,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-20
侯兴宇,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-20
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-20
皮埃尔-杰克逊,55,37,是,6-8,1-7,2-4,1,5,8,2,1,1,0,0,6,0/0,17,北控,2018-12-20
于梁,11,31,是,6-9,1-4,1-3,4,0,0,2,2,3,0,0,2,0/0,16,北控,2018-12-20
王征,28,18,是,5-6,0-0,2-3,1,2,1,1,0,0,0,0,2,0/0,12,北控,2018-12-20
许梦君,9,32,是,0-2,3-8,0-0,0,0,2,4,1,0,0,0,0,0/0,9,北控,2018-12-20
刘大鹏,20,10,是,0-0,1-2,0-0,1,0,2,3,0,0,0,0,0,0/0,3,北控,2018-12-20
托马斯-罗宾逊,0,34,否,8-21,0-0,8-11,8,16,4,4,3,3,0,1,7,0/0,24,北控,2018-12-20
张帆,3,30,否,4-6,2-3,0-0,1,1,4,2,0,2,0,0,1,0/0,14,北控,2018-12-20
孙贺男,31,28,否,1-2,3-6,0-0,2,2,2,2,0,0,1,0,0,0/0,11,北控,2018-12-20
张铭浩,30,11,否,2-4,0-0,0-0,2,2,0,1,0,1,0,1,0,0/0,4,北控,2018-12-20
于澍龙,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-20
常亚松,7,3,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,1,0/0,0,北控,2018-12-20
杨敬敏,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-20
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-20
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-20
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-20
王振宇,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-20
杨庚霖,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-20
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-20
