player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
路易斯-斯科拉,4,38,是,14-21,1-4,3-4,1,13,3,3,0,0,0,0,3,0/0,34,山西,2017-11-17
曾令旭,6,33,是,5-6,1-1,0-1,0,2,9,3,0,2,0,0,4,0/0,13,山西,2017-11-17
李敬宇,11,22,是,3-6,1-3,0-0,4,0,1,4,0,1,0,0,0,0/0,9,山西,2017-11-17
任骏威,26,15,是,1-1,1-3,0-0,0,3,0,0,1,0,1,0,0,0/0,5,山西,2017-11-17
张学文,33,16,是,1-3,0-0,2-3,1,1,1,2,3,0,0,0,3,0/0,4,山西,2017-11-17
詹宁斯,3,33,否,7-15,7-13,5-5,3,3,10,0,1,4,0,0,4,0/0,40,山西,2017-11-17
刘冠岑,17,27,否,7-7,0-0,2-3,2,1,0,2,2,0,1,2,2,0/0,16,山西,2017-11-17
闫鹏飞,9,29,否,6-7,0-0,1-2,0,8,1,4,1,1,1,0,2,0/0,13,山西,2017-11-17
原帅,7,11,否,0-0,2-4,0-0,0,0,0,1,0,0,0,0,0,0/0,6,山西,2017-11-17
邢志强,12,8,否,3-3,0-0,0-0,0,3,0,2,0,0,0,0,1,0/0,6,山西,2017-11-17
侯兴宇,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-17
王重阳,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-17
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-17
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-17
沙威剑,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-17
王磊,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-17
李旭,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-17
王洪,13,2,否,0-0,0-1,0-0,0,0,1,0,0,1,0,0,0,0/0,0,山西,2017-11-17
兰德里,24,38,是,5-8,1-2,9-12,4,12,6,0,1,1,1,1,9,0/0,22,吉林,2017-11-17
崔晋铭,5,44,是,6-9,0-3,0-0,1,2,5,3,1,0,0,0,1,0/0,12,吉林,2017-11-17
高诗岩,0,28,是,2-5,2-5,0-0,0,3,0,3,2,2,0,0,2,0/0,10,吉林,2017-11-17
张彪,14,18,是,4-7,0-0,1-2,0,2,2,3,1,0,0,0,2,0/0,9,吉林,2017-11-17
蔡李龙,20,15,是,0-0,2-7,0-0,0,0,0,1,1,0,0,0,1,0/0,6,吉林,2017-11-17
代怀博,22,27,否,4-6,6-8,4-4,2,1,0,4,0,1,0,0,3,0/0,30,吉林,2017-11-17
韦弗,13,33,否,5-11,4-10,0-0,0,4,9,1,0,3,1,0,3,0/0,22,吉林,2017-11-17
李安,4,10,否,3-6,0-0,0-0,3,1,1,2,1,2,0,0,0,0/0,6,吉林,2017-11-17
姚天一,3,16,否,0-0,2-3,0-0,0,0,0,2,0,1,0,0,0,0/0,6,吉林,2017-11-17
刘天意,1,6,否,1-1,0-0,0-0,0,2,1,0,0,0,1,0,0,0/0,2,吉林,2017-11-17
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-17
柴长易,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-17
耿铭旸,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-17
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-17
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-17
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-17
