player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
富兰克林,11,36:48,是,6-10,2-8,10-11,1,8,12,6,3,5,1,1,12,1/1,28,山西,2017-02-05
戴勒姆波特,1,33:00,是,7-14,0-1,7-9,5,10,1,5,1,2,2,3,8,3/3,21,山西,2017-02-05
原帅,7,20:45,是,2-3,1-1,0-0,0,0,0,1,1,0,0,0,0,2/2,7,山西,2017-02-05
王磊,8,23:11,是,3-6,0-0,0-0,0,3,2,0,2,1,1,1,1,2/2,6,山西,2017-02-05
闫鹏飞,9,21:44,是,0-5,0-0,1-2,1,4,0,4,0,1,2,0,2,0/0,1,山西,2017-02-05
曾令旭,6,25:32,否,8-9,1-3,2-2,0,3,2,2,1,1,1,0,1,4/4,21,山西,2017-02-05
任骏威,21,35:54,否,0-1,2-6,0-0,0,2,0,4,1,0,0,0,3,0/0,6,山西,2017-02-05
张学文,33,11:42,否,2-6,0-1,1-2,0,1,0,2,0,2,1,0,1,0/0,5,山西,2017-02-05
侯兴宇,5,05:22,否,1-1,0-0,2-3,1,0,0,1,0,0,0,0,2,0/0,4,山西,2017-02-05
田桂森,3,20:18,否,1-1,0-3,0-0,0,0,0,1,2,1,0,1,0,1/1,2,山西,2017-02-05
罗智,10,05:44,否,0-0,0-1,0-0,1,0,0,0,0,0,0,0,0,0/0,0,山西,2017-02-05
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,山西,2017-02-05
刘炜,8,47:00,是,8-13,4-5,4-6,2,4,4,2,0,1,0,0,5,1/2,32,四川,2017-02-05
哈达迪,15,45:29,是,11-21,0-2,3-5,5,10,9,5,2,4,2,0,6,0/0,25,四川,2017-02-05
孟达,12,42:37,是,1-6,6-9,1-1,0,6,5,5,1,1,0,0,3,0/0,21,四川,2017-02-05
张春军,20,25:46,是,3-3,0-1,0-0,2,2,2,6,3,3,0,0,0,2/3,6,四川,2017-02-05
陈晓东,30,04:54,是,0-0,0-0,0-0,0,1,0,2,0,0,0,0,0,0/0,0,四川,2017-02-05
哈里斯,33,24:59,否,6-13,1-2,2-2,0,7,2,4,1,2,0,2,4,1/1,17,四川,2017-02-05
蔡晨,7,15:39,否,1-3,1-1,0-2,1,0,0,0,0,0,0,0,1,0/0,5,四川,2017-02-05
王汝恒,24,23:07,否,1-3,0-0,1-1,0,2,2,4,4,0,0,0,5,0/0,3,四川,2017-02-05
徐韬,9,02:31,否,0-0,0-0,2-2,0,0,0,1,0,0,0,0,1,0/0,2,四川,2017-02-05
陈辰,32,05:37,否,0-0,0-0,0-0,0,0,0,1,0,2,0,0,1,0/0,0,四川,2017-02-05
吴楠,10,02:21,否,0-0,0-1,0-0,0,0,0,0,0,1,0,0,0,0/0,0,四川,2017-02-05
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,0,0,0,0,0/0,0,四川,2017-02-05
