player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,14,40,是,3-7,4-10,14-14,0,7,5,3,1,6,1,2,11,0/0,32,山西,2018-10-21
葛昭宝,21,28,是,5-8,0-0,0-0,2,6,2,5,0,3,0,0,0,0/0,10,山西,2018-10-21
邢志强,12,19,是,0-0,2-3,0-0,0,9,1,3,0,0,0,0,0,0/0,6,山西,2018-10-21
原帅,7,36,是,0-1,2-6,0-0,0,1,1,3,1,1,0,0,0,0/0,6,山西,2018-10-21
李敬宇,11,24,是,2-5,0-3,0-0,0,1,2,1,1,0,0,0,0,0/0,4,山西,2018-10-21
克里斯-麦卡洛,0,28,否,8-12,1-3,7-8,3,5,3,0,1,2,1,2,5,0/0,26,山西,2018-10-21
刘冠岑,17,20,否,1-2,1-2,3-4,1,1,2,2,3,1,0,1,2,0/0,8,山西,2018-10-21
闫鹏飞,9,19,否,2-3,0-0,0-0,1,2,2,4,0,0,1,1,1,0/0,4,山西,2018-10-21
任骏威,10,11,否,0-0,0-0,1-2,0,1,0,0,0,0,0,0,2,0/0,1,山西,2018-10-21
孙伟博,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-10-21
任鹏鹏,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-10-21
王洪,13,7,否,0-3,0-1,0-0,0,0,1,0,0,0,0,0,0,0/0,0,山西,2018-10-21
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-10-21
滕贺麒,8,4,否,0-0,0-0,0-0,0,1,0,2,0,0,0,0,0,0/0,0,山西,2018-10-21
侯兴宇,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-10-21
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-10-21
富兰克林,11,46,是,7-13,3-11,12-12,2,7,6,4,5,3,2,0,13,0/0,35,四川,2018-10-21
贾森-汤普森,1,36,是,9-11,1-4,6-6,1,8,1,1,2,3,1,2,6,0/0,27,四川,2018-10-21
左朕年,13,31,是,0-1,0-4,3-4,3,4,1,5,0,0,0,0,2,0/0,3,四川,2018-10-21
王政博,16,23,是,1-1,0-3,0-0,1,0,0,4,1,1,0,0,1,0/0,2,四川,2018-10-21
陈辰,32,13,是,0-1,0-1,0-0,0,1,0,0,1,1,0,0,0,0/0,0,四川,2018-10-21
黄荣奇,7,27,否,1-6,3-6,0-2,1,2,3,1,1,2,0,0,1,0/0,11,四川,2018-10-21
曾文鼎,76,27,否,2-2,1-6,0-0,0,3,1,4,2,0,1,0,0,0/0,7,四川,2018-10-21
杨越,6,25,否,0-4,2-5,0-0,4,0,0,0,0,1,0,0,0,0/0,6,四川,2018-10-21
孟达,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-21
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-21
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-21
景菡一,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-21
莫蒙尘,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-21
胡林森,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-21
闵庆飞,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-21
陈晓东,30,8,否,0-1,0-1,0-0,0,1,0,2,0,1,0,0,0,0/0,0,四川,2018-10-21
袁振梁,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-21
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-21
张海阔,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-21
