player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
富兰克林,11,42:01,是,2-4,4-7,14-14,0,7,9,5,6,3,1,1,14,2/2,30,山西,2016-12-25
闫鹏飞,9,26:50,是,9-20,0-0,2-2,3,3,0,3,1,2,0,2,1,1/1,20,山西,2016-12-25
原帅,7,37:19,是,0-1,5-11,2-2,0,0,0,1,1,1,0,0,1,2/3,17,山西,2016-12-25
张学文,33,26:58,是,2-2,0-3,1-1,0,5,6,1,1,1,0,1,1,1/1,5,山西,2016-12-25
侯兴宇,5,14:34,是,0-0,0-0,0-2,2,1,0,1,1,0,1,0,1,0/0,0,山西,2016-12-25
亨利-西姆斯,36,29:47,否,8-13,1-1,1-4,2,2,0,4,0,4,3,0,5,0/0,20,山西,2016-12-25
王磊,8,17:10,否,3-5,0-2,1-2,0,2,2,3,0,1,0,0,1,1/2,7,山西,2016-12-25
任骏威,21,24:50,否,0-2,1-2,0-0,1,5,2,3,0,0,0,0,0,0/0,3,山西,2016-12-25
曾令旭,6,12:22,否,1-1,0-2,0-1,1,1,1,1,0,0,0,0,2,1/1,2,山西,2016-12-25
罗智,10,03:31,否,0-0,0-1,0-0,0,1,1,0,0,0,0,0,0,0/0,0,山西,2016-12-25
田桂森,3,04:02,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/1,0,山西,2016-12-25
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,2,0,0,0,0/0,0,山西,2016-12-25
丁彦雨航,2,42:03,是,11-18,3-7,10-12,2,7,3,2,2,5,0,1,12,2/2,41,山东,2016-12-25
贾森-汤普森,1,38:15,是,4-7,0-1,2-4,6,10,1,5,1,3,0,0,7,0/0,10,山东,2016-12-25
睢冉,6,36:52,是,4-9,0-2,1-2,1,4,4,3,1,1,0,0,1,1/1,9,山东,2016-12-25
潘宁,5,08:29,是,0-0,1-2,0-0,1,1,0,2,0,0,1,0,0,0/0,3,山东,2016-12-25
李泓翰,7,16:47,是,0-1,0-1,0-0,0,3,0,2,0,0,0,0,1,0/0,0,山东,2016-12-25
张辉,4,33:02,否,3-4,4-8,0-0,3,2,3,5,2,1,1,0,0,0/0,18,山东,2016-12-25
吴轲,15,25:16,否,6-9,1-3,1-1,2,2,1,3,1,2,1,1,1,1/1,16,山东,2016-12-25
李敬宇,8,32:32,否,2-4,2-9,0-0,0,4,0,4,0,1,0,0,1,0/0,10,山东,2016-12-25
刘冠岑,9,06:44,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2016-12-25
未确认,--,--,--,0-0,0-0,0-0,2,0,0,0,0,1,0,0,0,0/0,0,山东,2016-12-25
