player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
富兰克林,11,37:00,是,9-15,0-5,13-13,2,7,4,2,2,3,1,1,9,4/4,31,山西,2016-10-30
任骏威,21,38:17,是,9-10,1-4,1-1,7,4,2,1,1,1,2,0,1,0/0,22,山西,2016-10-30
曾令旭,6,27:18,是,3-3,1-6,2-3,0,4,3,0,1,4,0,0,2,1/1,11,山西,2016-10-30
原帅,7,19:44,是,1-1,2-8,0-0,1,2,1,1,0,1,0,0,0,0/0,8,山西,2016-10-30
闫鹏飞,9,11:53,是,1-3,0-0,0-0,1,2,0,4,0,1,0,0,0,0/0,2,山西,2016-10-30
张学文,33,23:59,否,2-2,2-4,0-0,0,0,2,2,1,1,1,1,1,1/1,10,山西,2016-10-30
戴勒姆波特,1,29:19,否,4-7,0-1,2-2,3,9,2,3,1,3,5,3,2,1/1,10,山西,2016-10-30
田桂森,3,05:05,否,2-2,1-1,0-0,0,0,0,2,0,0,0,1,0,1/1,7,山西,2016-10-30
罗智,10,19:29,否,0-1,2-3,0-0,0,0,2,2,2,1,0,0,0,0/0,6,山西,2016-10-30
王洪,4,11:25,否,1-2,0-0,0-0,0,2,3,3,1,3,0,0,0,0/0,2,山西,2016-10-30
邢志强,12,09:05,否,0-1,0-2,0-0,0,1,0,0,1,0,0,0,0,0/0,0,山西,2016-10-30
侯兴宇,5,07:26,否,0-1,0-0,0-0,0,3,0,0,0,0,2,0,1,0/0,0,山西,2016-10-30
未确认,--,--,--,0-0,0-0,0-0,1,4,0,0,0,1,0,0,0,0/0,0,山西,2016-10-30
唐纳德-斯隆,23,33:53,是,3-8,1-5,3-3,0,0,6,0,3,3,0,0,5,1/1,12,广东,2016-10-30
杨金蒙,17,19:33,是,3-4,1-6,0-0,1,0,1,4,1,0,0,0,0,1/1,9,广东,2016-10-30
董瀚麟,16,10:35,是,3-4,0-0,1-2,2,1,0,2,0,0,1,1,1,0/0,7,广东,2016-10-30
周鹏,11,23:49,是,2-4,0-5,0-0,0,1,0,0,1,0,2,0,1,1/1,4,广东,2016-10-30
朱芳雨,8,23:19,是,0-0,0-4,0-0,1,2,2,1,2,1,1,0,1,0/0,0,广东,2016-10-30
任骏飞,20,34:22,否,4-6,1-3,1-2,0,2,0,1,1,1,0,0,3,0/0,12,广东,2016-10-30
赵睿,0,33:03,否,2-5,1-6,5-6,2,3,4,1,3,4,1,0,5,1/1,12,广东,2016-10-30
布泽尔,5,30:44,否,4-7,0-0,3-4,1,7,1,3,1,3,0,0,2,0/0,11,广东,2016-10-30
周湛东,13,12:43,否,0-0,1-2,2-3,0,1,1,2,0,0,0,0,1,0/0,5,广东,2016-10-30
赵天熠,26,05:11,否,0-0,0-0,2-2,1,0,0,2,0,1,0,0,1,0/0,2,广东,2016-10-30
陈江华,6,02:57,否,0-0,0-0,0-0,0,1,0,0,1,0,0,0,0,0/0,0,广东,2016-10-30
高尚,3,09:51,否,0-1,0-1,0-0,1,3,0,0,0,0,0,0,0,0/0,0,广东,2016-10-30
未确认,--,--,--,0-0,0-0,0-0,0,5,0,0,0,2,0,0,0,0/0,0,广东,2016-10-30
