player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
约什-亚当斯,14,29,是,3-7,2-6,2-3,1,3,1,2,2,5,0,0,3,0/0,14,山西,2018-11-18
李敬宇,11,31,是,0-2,1-4,3-4,0,3,0,4,0,2,0,0,3,0/0,6,山西,2018-11-18
葛昭宝,21,16,是,1-3,0-0,0-0,1,0,1,4,0,1,0,0,0,0/0,2,山西,2018-11-18
邢志强,12,17,是,1-1,0-3,0-0,0,2,0,2,0,1,2,0,0,0/0,2,山西,2018-11-18
滕贺麒,8,16,是,0-1,0-2,0-0,1,0,0,1,1,1,0,0,3,0/0,0,山西,2018-11-18
穆罕默德,15,26,否,5-8,0-1,4-9,1,4,0,1,0,3,1,2,6,0/0,14,山西,2018-11-18
任骏威,10,29,否,5-9,0-4,3-4,4,9,2,0,2,1,0,0,4,0/0,13,山西,2018-11-18
闫鹏飞,9,23,否,3-7,0-0,3-4,3,4,1,0,0,1,0,0,4,0/0,9,山西,2018-11-18
张泽龙,24,11,否,2-4,1-3,1-2,0,0,0,0,0,1,0,0,2,0/0,8,山西,2018-11-18
王洪,13,12,否,2-4,0-0,3-3,1,1,1,3,1,0,0,0,2,0/0,7,山西,2018-11-18
刘冠岑,17,15,否,1-3,0-0,0-0,1,4,0,0,1,0,0,1,0,0/0,2,山西,2018-11-18
孙伟博,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-18
任鹏鹏,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-18
原帅,7,9,否,0-1,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,山西,2018-11-18
侯兴宇,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-18
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-18
易建联,9,28,是,7-16,2-4,2-4,0,6,1,2,1,2,2,2,4,0/0,22,广东,2018-11-18
德莱尼,23,30,是,3-5,3-5,2-3,4,3,5,2,5,3,0,0,3,0/0,17,广东,2018-11-18
周鹏,11,26,是,5-6,2-9,0-0,0,3,1,4,0,0,1,0,0,0/0,16,广东,2018-11-18
任骏飞,20,26,是,6-8,0-2,0-1,2,2,3,2,2,0,0,0,1,0/0,12,广东,2018-11-18
赵睿,10,23,是,2-3,0-1,2-2,2,3,5,5,0,2,0,0,3,0/0,6,广东,2018-11-18
威姆斯,13,28,否,4-5,1-3,0-0,0,8,6,5,2,0,0,1,1,0/0,11,广东,2018-11-18
曾繁日,22,8,否,1-2,0-0,1-2,1,3,0,1,0,0,1,0,1,0/0,3,广东,2018-11-18
徐杰,2,8,否,1-2,0-1,0-0,1,2,0,0,0,1,0,0,0,0/0,2,广东,2018-11-18
杜润旺,18,18,否,1-2,0-1,0-0,0,2,0,4,1,0,0,0,2,0/0,2,广东,2018-11-18
胡明轩,1,24,否,1-2,0-2,0-0,0,2,3,3,1,2,0,0,0,0/0,2,广东,2018-11-18
苏伟,12,11,否,0-3,0-0,1-2,0,1,0,0,0,0,0,0,1,0/0,1,广东,2018-11-18
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-11-18
孟铎,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-11-18
万圣伟,51,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-11-18
纪祥,39,3,否,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0,0/0,0,广东,2018-11-18
王薪凯,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-11-18
