player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
葛昭宝,21,34,是,8-13,0-1,7-9,1,5,0,3,1,3,1,0,7,0/0,23,山西,2018-12-09
穆罕默德,15,29,是,5-12,0-3,7-12,5,6,0,0,0,1,1,1,8,0/0,17,山西,2018-12-09
李敬宇,11,39,是,2-4,1-6,0-0,1,4,1,2,1,2,0,0,0,0/0,7,山西,2018-12-09
王洪,13,7,是,1-1,0-0,0-0,0,1,0,2,0,1,0,0,1,0/0,2,山西,2018-12-09
邢志强,12,7,是,0-0,0-0,1-3,0,2,1,0,0,0,0,0,2,0/0,1,山西,2018-12-09
鲍比-布朗,6,40,否,5-8,3-8,5-7,0,5,8,0,1,2,0,0,4,0/0,24,山西,2018-12-09
原帅,7,24,否,0-3,3-6,1-1,0,0,0,2,0,0,0,0,1,0/0,10,山西,2018-12-09
任骏威,10,20,否,2-3,0-1,5-5,1,4,2,6,1,3,0,0,3,0/0,9,山西,2018-12-09
闫鹏飞,9,20,否,1-3,0-0,4-4,2,2,0,2,0,1,1,0,2,0/0,6,山西,2018-12-09
侯兴宇,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-09
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-09
孙伟博,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-09
任鹏鹏,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-09
刘冠岑,17,10,否,0-0,0-0,0-0,0,0,0,4,0,0,0,0,0,0/0,0,山西,2018-12-09
滕贺麒,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-09
张泽龙,24,5,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,山西,2018-12-09
弗格,18,41,是,8-13,2-9,11-12,0,7,11,4,2,2,1,0,9,0/0,33,广州,2018-12-09
西热力江,20,42,是,4-4,6-15,0-0,1,0,1,1,4,2,0,0,2,0/0,26,广州,2018-12-09
鞠明欣,8,38,是,4-6,1-2,0-0,3,5,1,4,1,1,0,0,2,0/0,11,广州,2018-12-09
张永鹏,33,34,是,5-6,0-0,0-2,3,6,3,4,3,0,0,0,2,0/0,10,广州,2018-12-09
孙鸣阳,12,7,是,1-2,0-0,0-0,1,1,0,2,0,0,0,0,0,0/0,2,广州,2018-12-09
斯贝茨,5,29,否,5-9,2-7,8-8,1,4,3,4,1,3,0,0,5,0/0,24,广州,2018-12-09
陈盈骏,2,9,否,0-0,1-4,0-0,0,0,0,1,0,0,0,0,0,0/0,3,广州,2018-12-09
衡艺丰,21,6,否,1-1,0-1,0-0,0,0,1,1,0,0,0,0,0,0/0,2,广州,2018-12-09
郑准,50,3,否,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,0/0,0,广州,2018-12-09
谷玥灼,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-09
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-09
姚天一,1,6,否,0-0,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,广州,2018-12-09
宋帅,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-09
司坤,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-09
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-09
李炎哲,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-09
郭凯,14,20,否,0-0,0-0,0-0,2,5,1,6,1,1,0,0,1,0/0,0,广州,2018-12-09
田宇恒,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-09
