player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
富兰克林,11,44:54,是,6-13,2-9,11-12,4,6,11,0,4,6,2,1,14,2/2,29,山西,2016-12-07
原帅,7,37:47,是,0-1,6-12,2-2,1,2,0,5,1,0,0,0,1,0/1,20,山西,2016-12-07
任骏威,21,47:26,是,6-9,2-7,1-2,1,5,1,2,0,2,0,0,2,2/3,19,山西,2016-12-07
闫鹏飞,9,20:54,是,6-7,0-0,1-3,5,2,2,2,0,1,2,2,2,0/0,13,山西,2016-12-07
田桂森,3,19:47,是,1-4,1-1,0-0,1,1,1,4,3,0,0,0,2,0/0,5,山西,2016-12-07
戴勒姆波特,1,27:06,否,9-10,0-0,4-5,3,3,0,3,2,6,0,3,3,1/1,22,山西,2016-12-07
王洪,4,27:04,否,1-4,2-7,2-2,1,3,4,2,5,0,0,0,4,0/0,10,山西,2016-12-07
王磊,8,02:25,否,0-0,0-0,0-2,0,0,0,0,0,0,0,0,1,0/0,0,山西,2016-12-07
张学文,33,07:53,否,0-0,0-0,0-0,0,1,2,0,0,0,0,0,0,0/0,0,山西,2016-12-07
罗智,10,04:10,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山西,2016-12-07
邢志强,12,00:34,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山西,2016-12-07
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,山西,2016-12-07
亚当斯,4,44:54,是,11-14,4-17,5-6,1,7,8,4,2,7,0,0,9,2/2,39,新疆,2016-12-07
俞长栋,7,35:10,是,5-6,2-2,0-0,2,6,3,6,1,4,0,1,1,3/4,16,新疆,2016-12-07
孙桐林,55,39:19,是,3-8,0-1,2-2,5,1,4,3,2,2,0,0,1,0/0,8,新疆,2016-12-07
可兰白克,13,26:25,是,0-1,2-4,0-0,0,2,3,4,2,2,0,0,3,0/0,6,新疆,2016-12-07
阿不都沙拉木,14,04:15,是,0-1,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,新疆,2016-12-07
本杰明-本特尔,50,18:16,否,3-6,4-5,6-6,1,2,2,5,0,1,0,0,4,0/0,24,新疆,2016-12-07
李根,1,43:45,否,1-4,5-6,0-0,3,5,4,3,0,3,1,0,2,0/0,17,新疆,2016-12-07
西热力江,20,17:28,否,0-0,2-4,0-0,0,2,0,3,0,0,0,0,0,0/0,6,新疆,2016-12-07
王子瑞,30,10:28,否,1-2,1-2,0-0,0,1,0,0,0,3,0,0,0,0/0,5,新疆,2016-12-07
孙鸣阳,21,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2016-12-07
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,0,0,0,0,0/0,0,新疆,2016-12-07
